HCH_016_001_000000	吳之前君太伯者，后稷之苗裔也。
HCH_016_001_000001	后稷其母台氏之女姜嫄，為帝嚳元妃。
HCH_016_001_000002	年少未孕，出游於野，見大人跡而觀之，中心歡然，喜其形像，因履而踐之。
HCH_016_001_000003	身動，意若為人所感。
HCH_016_001_000004	後妊娠。
HCH_016_001_000005	恐被淫泆之禍，遂祭祀以求，謂無子履上帝之跡，天猶令有之。
HCH_016_001_000006	姜嫄怪而棄于阨狹之巷，牛馬過者折易而避之。
HCH_016_001_000007	復棄于林中，適會伐木之人多。
HCH_016_001_000008	復置于澤中冰上，眾鳥以羽覆之。
HCH_016_001_000009	后稷遂得不死。
HCH_016_001_000010	姜嫄以為神，收而養之，長因名棄。
HCH_016_001_000011	為兒時，好種樹禾、黍、桑、麻五榖、相五土之宜，青、赤、黃、黑，陵、水、高、下，粢、稷、黍、禾、蕖、麥、豆、稻，各得其理。
HCH_016_001_000012	堯遭洪水，人民泛濫，遂高而居。
HCH_016_001_000013	堯聘棄使教民山居，隨地造區，研營種之術。
HCH_016_001_000014	三年餘，行人無飢乏之色。
HCH_016_001_000015	乃拜棄為農師，封之台，號為后稷，姓姬氏。
HCH_016_001_000016	后稷就國為諸侯。
HCH_016_001_000017	卒，子不窋立。
HCH_016_001_000018	遭夏氏世衰，失官奔戎狄之間。
HCH_016_001_000019	其孫公劉，公劉慈仁，行不履生草，運車以避葭葦。
HCH_016_001_000020	公劉避夏桀於戎狄，變易風俗，民化其政。
HCH_016_001_000021	公劉卒，子慶節立。
HCH_016_001_000022	其後八世而得古公亶甫。
HCH_016_001_000023	脩公劉后稷之業，積德行義，為狄人所慕。
HCH_016_001_000024	薰鬻戎姤而伐之，古公事之以犬馬牛羊，其伐不止；事以皮幣、金玉重寶，而亦伐之不止。
HCH_016_001_000025	古公問何所欲？
HCH_016_001_000026	曰：欲其土地。
HCH_016_001_000027	古公曰：「君子不以養害害所養。國所以亡也而為身害，吾所不居也。」
HCH_016_001_000028	古公乃杖策去邠，踰梁山而處岐周曰：「彼君與我何異？」
HCH_016_001_000029	邠人父子兄弟相帥，負老攜幼，揭釜甑而歸古公。
HCH_016_001_000030	居三月成城郭，一年成邑，二年成都，而民五倍其初。
HCH_016_001_000031	古公三子，長曰太伯，次曰仲雍，雍一名吳仲，少曰季歷。
HCH_016_001_000032	季歷娶妻太任氏，生子昌。
HCH_016_001_000033	昌有聖瑞。
HCH_016_001_000034	古公知昌聖，欲傳國以及昌，曰：「興王業者，其在昌乎？」
HCH_016_001_000035	因更名曰季歷。
HCH_016_001_000036	太伯、仲雍望風知指，曰：「歷者，適也。」
HCH_016_001_000037	知古公欲以國及昌。
HCH_016_001_000038	古公病，二人託名採藥於衡山，遂之荊蠻。
HCH_016_001_000039	斷髮文身，為夷狄之服，示不可用。
HCH_016_001_000040	古公卒，太伯、仲雍歸，赴喪畢，還荊蠻。
HCH_016_001_000041	國民君而事之，自號為勾吳。
HCH_016_001_000042	吳人或問何像而為勾吳，太伯曰：「吾以伯長居國，絕嗣者也，其當有封者，吳仲也。故自號勾吳，非其方乎？」
HCH_016_001_000043	荊蠻義之，從而歸之者千有餘家，共立以為勾吳。
HCH_016_001_000044	數年之間，民人殷富。
HCH_016_001_000045	遭殷之末世衰，中國侯王數用兵，恐及於荊蠻，故太伯起城，周三里二百步，外郭三百餘里。
HCH_016_001_000046	在西北隅，名曰故吳，人民皆耕田其中。
HCH_016_001_000047	古公病將卒，令季歷讓國於太伯，而三讓不受，故云太伯三以天下讓。
HCH_016_001_000048	於是季歷蒞政，脩先王之業，守仁義之道。
HCH_016_001_000049	季歷卒，子昌立，號曰西伯。
HCH_016_001_000050	遵公劉、古公之術業於養老，天下歸之。
HCH_016_001_000051	西伯致太平，伯夷自海濱而往。
HCH_016_001_000052	西伯卒，太子發立，任周召而伐殷，天下已安，乃稱王。
HCH_016_001_000053	追謚古公為大王，追封太伯於吳。
HCH_016_001_000054	太伯祖卒葬於梅里平墟。
HCH_016_001_000055	仲雍立，是為吳仲雍。
HCH_016_001_000056	仲雍卒，子季簡、簡子叔達、達子周章、章子熊、熊子遂、遂子柯相、相子彊鳩夷、夷子餘喬疑吾、吾子柯廬、廬子周繇、繇子屈羽、羽子夷吾、吾子禽處，處子專、專子頗高、高子句畢立。
HCH_016_001_000057	是時，晉獻公滅周北虞虞公，以開晉之伐虢氏。
HCH_016_001_000058	畢子去齊、齊子壽夢立，而吳益彊，稱王。
HCH_016_001_000059	凡從太伯至壽夢之世，與中國時通朝會，而國斯霸焉。
