HCH_012_046_000000	雲南《禹貢》梁州徼外。
HCH_012_046_000001	元置雲南等處行中書省。
HCH_012_046_000002	治中慶路。
HCH_012_046_000003	洪武十五年二月癸丑平雲南，置雲南都指揮使司。
HCH_012_046_000004	乙卯置雲南等處承宣布政使司。
HCH_012_046_000005	同治雲南府。
HCH_012_046_000006	領府五十八，州七十五，縣五十五，蠻部六。
HCH_012_046_000007	後領府十九，御夷府二，州四十，御夷州三，縣三十，宣慰司八，宣撫司四，安撫司五，長官司三十三，御夷長官司二。
HCH_012_046_000008	北至永寧，與四川界。
HCH_012_046_000009	東至福州，與廣西界。
HCH_012_046_000010	西至幹崖，與西番界。
HCH_012_046_000011	南至木邦，與交址界。
HCH_012_046_000012	距南京七千二百里，京師一萬六百四十五里。
HCH_012_046_000013	洪武二十六年編戶五萬九千五百七十六，口二十五萬九千二百七十。
HCH_012_046_000014	弘治四年，戶一萬五千九百五十，口一十二萬五千九百五十五。
HCH_012_046_000015	萬曆六年，戶一十三萬五千五百六十，口一百四十七萬六千六百九十二。
HCH_012_046_000016	雲南府元中慶路。
HCH_012_046_000017	洪武十五年正月改爲雲南府。
HCH_012_046_000018	領州四，縣九：昆明倚。
HCH_012_046_000019	洪武二十六年，岷王府自陝西岷州遷於此。
HCH_012_046_000020	永樂二十二年遷岷王府於湖廣武岡州，建滕王府於此，宣德元年除。
HCH_012_046_000021	東有金馬山，與西南碧雞山相對，俱有關，山下即滇池。
HCH_012_046_000022	池在城南，週五百里，其西南爲海口，至武定府北，注於金沙江。
HCH_012_046_000023	又東有盤龍江，西注滇池。
HCH_012_046_000024	東有赤水鵬、清水江二巡檢司。
HCH_012_046_000025	富民府西北。
HCH_012_046_000026	東有螳良川，源自滇池，下流入金沙江。
HCH_012_046_000027	東南有安寧河。
HCH_012_046_000028	宜良府東少南。
HCH_012_046_000029	東有大池江，一名大河，亦曰巴盤江。
HCH_012_046_000030	西有湯池巡檢司。
HCH_012_046_000031	羅次府西北。
HCH_012_046_000032	舊屬安寧州，弘治十三年八月改屬府。
HCH_012_046_000033	西有星宿河，自武定府流入。
HCH_012_046_000034	又有沙摩溪，即安寧河。
HCH_012_046_000035	南有鍊象關巡檢司。
HCH_012_046_000036	晉寧州西有大堡河，下流入滇池。
HCH_012_046_000037	北距府百里。
HCH_012_046_000038	領縣二：歸化東北有交七浦，滇池下流。
HCH_012_046_000039	呈貢州北。
HCH_012_046_000040	西有滇池，北有落龍河，南流入焉。
HCH_012_046_000041	安寧州西有呀嵕山，有煎鹽水，設鹽課提舉司，轄鹽井四。
HCH_012_046_000042	天啓三年改設於琅井，此司遂廢。
HCH_012_046_000043	又南有螳良川。
HCH_012_046_000044	西有安寧河。
HCH_012_046_000045	又有祿脿、貼琉二巡檢司。
HCH_012_046_000046	東距府八十里。
HCH_012_046_000047	領縣一：祿豐州西。
HCH_012_046_000048	西有南平山，上有關。
HCH_012_046_000049	東有大溪，即安寧河。
HCH_012_046_000050	西有星宿河，河東有老鴉關巡檢司。
HCH_012_046_000051	又西有蘭谷關。
HCH_012_046_000052	昆陽州東南有渠濫川，東北入於滇池。
HCH_012_046_000053	北距府百五十里。
HCH_012_046_000054	領縣二：三泊州西北。
HCH_012_046_000055	西有三泊溪，流入滇池。
HCH_012_046_000056	易門州西。
HCH_012_046_000057	南有易門守禦千戶所，洪武二十四年置，舊縣治在焉。
HCH_012_046_000058	萬曆三年復還縣治於此。
HCH_012_046_000059	又南有黎崖山，產異馬，一名馬頭山。
HCH_012_046_000060	西有九渡河，即祿豐縣大溪，下流入元江府界。
HCH_012_046_000061	嵩明州洪武十五年三月改曰嵩盟。
HCH_012_046_000062	成化十八年復故。
HCH_012_046_000063	東北有羅錦山。
HCH_012_046_000064	東有秀嵩山。
HCH_012_046_000065	西北有東葛勒山。
HCH_012_046_000066	東南有烏納山，牧漾水出焉，西南入滇池。
HCH_012_046_000067	又東南有嘉利澤，亦曰楊林澤。
HCH_012_046_000068	又西有邵甸河，匯九十九泉，至昆明爲備龍江。
HCH_012_046_000069	西有邵甸縣，洪武十五年三月屬州，尋廢。
HCH_012_046_000070	東南有楊林縣，成化十七年十月廢。
HCH_012_046_000071	又東有楊林守禦千戶所，洪武二十五年置。
HCH_012_046_000072	又西有兔兒關巡檢司。
HCH_012_046_000073	西南距府百二十里。
HCH_012_046_000074	曲靖府元曲靖路。
HCH_012_046_000075	洪武十五年三月爲府。
HCH_012_046_000076	二十七年四月升爲軍民府。
HCH_012_046_000077	領州四，縣二。
HCH_012_046_000078	西距布政司二百九十里。
HCH_012_046_000079	南寧倚。
HCH_012_046_000080	東南有石堡山，山西有元越州治，洪武二十八年正月廢。
HCH_012_046_000081	北有白石江，流合城南之瀟湘江，又東南合左小江，亦謂之南盤江，下流環雲南、澂江、廣西三府之境，至羅平州入貴州界。
HCH_012_046_000082	東北有白水關巡檢司。
HCH_012_046_000083	亦佐府東。
HCH_012_046_000084	元屬羅雄州。
HCH_012_046_000085	永樂初，改屬府。
HCH_012_046_000086	西南有塊澤江。
HCH_012_046_000087	沾益州東南有堆涌山。
HCH_012_046_000088	北有北盤江，其上流即貴州畢節衛之可渡河，流入州境，又東南入貴州安南衛。
HCH_012_046_000089	其西南又有南盤江，即南寧縣之東山河。
HCH_012_046_000090	南有交水縣，東南有羅山縣，東北有石樑縣，元皆屬州，洪武十五年皆廢。
HCH_012_046_000091	南有平夷衛，本平夷千戶所，洪武二十一年十一月置，二十三年四月改爲衛，後廢，永樂元年復置衛。
HCH_012_046_000092	衛當貴州西入之衝，東有巒岡，西有定南嶺，北有豫順關、宣威關。
HCH_012_046_000093	州東南又有越州衛，洪武二十三年七月置，二十四年十二月徙於陸涼州，二十八年與州同廢，永樂元年九月復置。
HCH_012_046_000094	又州南有鬆韶鋪、阿幢橋二巡檢司。
HCH_012_046_000095	又南有炎方城，西南有鬆株城，俱天啓五年築。
HCH_012_046_000096	西南距府二百十三里。
HCH_012_046_000097	陸涼州東有丘雄山，下有中涎澤，即南盤江所匯也。
HCH_012_046_000098	西北有木容山，有關。
HCH_012_046_000099	又西有部封山。
HCH_012_046_000100	又西有芳華縣，南有河納縣，元皆屬州，永樂初皆廢。
HCH_012_046_000101	西南有陸涼衛，洪武二十三年三月以古魯昌地置，西南有喬甸，萬曆二年立營置戍於此。
HCH_012_046_000102	四十八年復設法古甸、龍峒等營，協守其地。
HCH_012_046_000103	北距府百二十里。
HCH_012_046_000104	馬龍州東南有木容箐山，洪武二十四年十二月置甯越堡於此。
HCH_012_046_000105	山下有木容溪，下流即瀟湘江。
HCH_012_046_000106	又西有楊磨山，一名關索嶺，上有關。
HCH_012_046_000107	西南有通泉縣，元屬州，永樂初廢。
HCH_012_046_000108	北有馬隆守禦千戶所，本馬隆衛，洪武二十三年七月置，二十八年十月改爲所。
HCH_012_046_000109	南有魯婆伽嶺巡檢司。
HCH_012_046_000110	又有馬龍縣，元屬州，洪武十五年廢。
HCH_012_046_000111	西南有分水嶺關。
HCH_012_046_000112	東有三叉口關。
HCH_012_046_000113	東距府七十里。
HCH_012_046_000114	羅平州元羅雄州。
HCH_012_046_000115	萬曆十五年四月更名。
HCH_012_046_000116	北有祿布山。
HCH_012_046_000117	東南有盤江，下流入貴州慕役長官司界。
HCH_012_046_000118	南有定雄守禦千戶所，萬曆十四年九月置。
HCH_012_046_000119	西北距府二百七十里。
HCH_012_046_000120	尋甸府元仁德府。
HCH_012_046_000121	洪武十六年十月辛未升爲仁德軍民府。
HCH_012_046_000122	丁丑改尋甸軍民府。
HCH_012_046_000123	成化十二年改爲尋甸府。
HCH_012_046_000124	舊治在東。
HCH_012_046_000125	今治在鳳梧山下，嘉靖七年十月徙。
HCH_012_046_000126	西南有落隴雄山，又有哇山。
HCH_012_046_000127	西有果馬山，其泉流爲龍巨江，下流入滇池。
HCH_012_046_000128	又西南有三棱山，上有九十九泉，即盤龍江之上源。
HCH_012_046_000129	又東有阿交合溪。
HCH_012_046_000130	又北有爲美縣，西有歸厚縣，元屬府，洪武十五年三月因之，尋廢。
HCH_012_046_000131	東南有木密關，一名易龍堡，洪武二十三年四月置木密關守禦千戶所於此。
HCH_012_046_000132	西南距布政司二百六十里。
HCH_012_046_000133	臨安府元臨安路。
HCH_012_046_000134	洪武十五年正月爲府。
HCH_012_046_000135	領州六，縣五，長官司九。
HCH_012_046_000136	北距布政司四百二十里。
HCH_012_046_000137	建水州倚。
HCH_012_046_000138	元時府在州北，洪武中移府治此。
HCH_012_046_000139	西南有寶山。
HCH_012_046_000140	西北右有火焰山。
HCH_012_046_000141	東有石巖山，瀘江水自石屏州流經此，伏流入巖洞中，東出爲樂蒙河。
HCH_012_046_000142	又東北有曲江，東入於盤江，有曲江巡檢司。
HCH_012_046_000143	又西有禮社江，源出趙州，流經此。
HCH_012_046_000144	又有寧遠州，萬曆十四年析建水州置，四十八年廢。
HCH_012_046_000145	東南有納更山土巡檢司。
HCH_012_046_000146	石屏州元曰石坪。
HCH_012_046_000147	洪武十五年三月改曰石平，後改今名。
HCH_012_046_000148	南有鍾秀山。
HCH_012_046_000149	東有菜玉山，產石似玉。
HCH_012_046_000150	有曲江。
HCH_012_046_000151	又有異龍湖，周百五十里，中有大、小、中三島，其大島、中島上皆有城，其水引流爲瀘江。
HCH_012_046_000152	西有寶秀關巡檢司。
HCH_012_046_000153	東距府七十里。
HCH_012_046_000154	阿迷州元阿甯萬戶。
HCH_012_046_000155	洪武十五年三月置州。
HCH_012_046_000156	東南有買吾山，萬曆初，改名雷公山。
HCH_012_046_000157	又南有盤江，東有樂蒙河流入焉。
HCH_012_046_000158	又東有火井，有東山口土巡檢司。
HCH_012_046_000159	又有部舊村巡檢司，後廢。
HCH_012_046_000160	又有阿迷守禦城，萬曆二年築。
HCH_012_046_000161	西距府百二十里。
HCH_012_046_000162	寧州東南有登樓山。
HCH_012_046_000163	東有水角甸山，產蘆甘石。
HCH_012_046_000164	又東有婆兮江，源出澂江府撫仙湖，下流入盤江，又西南有浣江，流合焉。
HCH_012_046_000165	又東有西沙縣，元屬州，後省，洪武十五年三月復置，仍屬州，尋復省。
HCH_012_046_000166	西北有甸直巡檢司。
HCH_012_046_000167	西南距府百八十里。
HCH_012_046_000168	通海府西北。
HCH_012_046_000169	元屬寧州，洪武十五年三月改屬府。
HCH_012_046_000170	南有秀山。
HCH_012_046_000171	北有通海湖。
HCH_012_046_000172	東有守禦通海前前、右右二千戶所，本元臨安路治。
HCH_012_046_000173	洪武初，徙府治建水州。
HCH_012_046_000174	十五年置守禦千戶所於此。
HCH_012_046_000175	河西府西北。
HCH_012_046_000176	東有曲江。
HCH_012_046_000177	又西有祿卑江，自新興州流入，合於曲江。
HCH_012_046_000178	又東北有綠溪河，其下流即通海湖。
HCH_012_046_000179	又北有曲陀關巡檢司，後廢。
HCH_012_046_000180	嶍峨府西北。
HCH_012_046_000181	元屬寧州。
HCH_012_046_000182	洪武十五年二月改屬府。
HCH_012_046_000183	東有曲江，自新興州流入，又南有合流江，西北有丁癸江，俱流合焉。
HCH_012_046_000184	又西南有伽羅關、西有興衣鄉二巡檢司。
HCH_012_046_000185	蒙自府東南。
HCH_012_046_000186	西有目則山。
HCH_012_046_000187	東有云龍山，又有羨裒山。
HCH_012_046_000188	又東南有黎花江，即禮社江也，東南注於交址清水江。
HCH_012_046_000189	有黎花舊市柵，宣德五年五月置臨安衛右千戶所於此。
HCH_012_046_000190	又西南有西溪二，出銀礦。
HCH_012_046_000191	又南有蓮花灘，即瀾滄江下流，交址洮江上流。
HCH_012_046_000192	西南有箐口關巡檢司，又有大窩關、楊柳河關。
HCH_012_046_000193	東南有廢果寨，又有賀謎寨，俱道通交址。
HCH_012_046_000194	新平府西北。
HCH_012_046_000195	萬曆十九年置。
HCH_012_046_000196	東南有魯奎山。
HCH_012_046_000197	東有平甸河。
HCH_012_046_000198	南有南峒巡檢司。
HCH_012_046_000199	新化州本馬龍他郎甸長官司。
HCH_012_046_000200	洪武十七年四月置，直隸布政司。
HCH_012_046_000201	弘治八年改爲新化州。
HCH_012_046_000202	萬曆十九年來屬。
HCH_012_046_000203	北有徹崇山。
HCH_012_046_000204	西有馬籠山，蠻酋結寨處，元置馬籠部千戶於此，屬元江路，洪武十五年廢。
HCH_012_046_000205	又北有法龍山，亦蠻酋結寨處。
HCH_012_046_000206	又東南有馬籠江，即禮社江，亦曰摩沙勒江，有摩沙勒巡檢司。
HCH_012_046_000207	東北有阿怒甸。
HCH_012_046_000208	東南距府五百三十里。
HCH_012_046_000209	寧遠州元至治三年二月置，直隸雲南行省。
HCH_012_046_000210	洪武十五年來屬。
HCH_012_046_000211	宣德元年與安南。
HCH_012_046_000212	納樓茶甸長官司府西南。
HCH_012_046_000213	本納樓千戶所，洪武十五年置，屬和泥府。
HCH_012_046_000214	十七年四月改置。
HCH_012_046_000215	北有羚羊洞，產銀礦。
HCH_012_046_000216	又有祿豐江，即禮社江下流。
HCH_012_046_000217	又東有倘甸。
HCH_012_046_000218	教化三部長官司府東南。
HCH_012_046_000219	元強現三部，洪武中改置。
HCH_012_046_000220	西南有魯部河，源出禮社江，下流合蒙自縣梨花江。
