HCH_012_162_000000	尹昌隆耿通戴綸陳祚劉球陳鑒鐘同章綸廖莊倪敬楊瑄尹昌隆，字彥謙，泰和人。
HCH_012_162_000001	洪武中進士及第。
HCH_012_162_000002	授修撰，改監察御史。
HCH_012_162_000003	惠帝初即位，視朝晏。
HCH_012_162_000004	昌隆疏諫曰：「高皇帝雞鳴而起，昧爽而朝，未日出而臨百官，故能庶績咸熙，天下乂安。陛下嗣守大業，宜追繩祖武，兢兢業業，憂勤萬幾。今乃即於晏安，日上數刻，猶未臨朝。群臣宿衛，疲於伺候，曠職廢業，上下懈弛。播之天下，傳之四裔，非社稷福也。」
HCH_012_162_000005	帝曰：「昌隆言切直，禮部其宣示天下，使知朕過。」
HCH_012_162_000006	未幾，以地震上言，謫福寧知縣。
HCH_012_162_000007	燕兵既逼，昌隆以北來奏章動引周公輔成王為詞，勸帝罷兵，許王入朝。
HCH_012_162_000008	設有蹉跌，便舉位讓之。
HCH_012_162_000009	若沈吟不斷，進退失據，將求為丹徒布衣且不可得。
HCH_012_162_000010	成祖入京師，昌隆名在奸臣中。
HCH_012_162_000011	以前奏貸死，命傅世子於北平。
HCH_012_162_000012	永樂二年冊世子為皇太子，擢昌隆左春坊左中允。
HCH_012_162_000013	隨事匡諫，太子甚重之。
HCH_012_162_000014	解縉之黜，同日改昌隆禮部主事。
HCH_012_162_000015	尚書呂震方用事，性刻忮。
HCH_012_162_000016	當其獨處精思，以手指刮眉尾，則必有密謀深計。
HCH_012_162_000017	官屬相戒，無敢白事者。
HCH_012_162_000018	昌隆前白事，震怒不應；移時又白之，震愈怒，拂衣起。
HCH_012_162_000019	昌隆退白太子，取令旨行之。
HCH_012_162_000020	震大怒，奏昌隆假托宮僚，陰欲樹結，潛蓄無君心。
HCH_012_162_000021	逮下獄。
HCH_012_162_000022	尋遇赦復官。
HCH_012_162_000023	父憂起復。
HCH_012_162_000024	謁震，震溫言接之。
HCH_012_162_000025	入理前奏，復下錦衣衛獄，籍其家。
HCH_012_162_000026	帝凡巡幸，下詔獄者率輿以從，謂之隨駕重囚，昌隆與焉。
HCH_012_162_000027	後數年，谷王謀反事發。
HCH_012_162_000028	以王前奏昌隆為長史，坐以同謀，詔公卿雜問。
HCH_012_162_000029	昌隆辯不已，震折之。
HCH_012_162_000030	獄具，置極刑死，夷其族。
HCH_012_162_000031	後震病且死，號呼「尹相」，言見昌隆守欲殺之雲。
HCH_012_162_000032	耿通，齊東人。
HCH_012_162_000033	洪武中舉於鄉。
HCH_012_162_000034	授襄陽教授。
HCH_012_162_000035	永樂初，擢刑科給事中，歷左右給事。
HCH_012_162_000036	剛直敢言。
