HCH_012_226_000000	海瑞，字汝賢，瓊山人。
HCH_012_226_000001	舉鄉試。
HCH_012_226_000002	入都，即伏闕上《平黎策》，欲開道置縣，以靖鄉土。
HCH_012_226_000003	識者壯之。
HCH_012_226_000004	署南平教諭。
HCH_012_226_000005	御史詣學宮，屬吏鹹伏謁，瑞獨長揖，曰：「台謁當以屬禮，此堂，師長教士地，不當屈。」
HCH_012_226_000006	遷淳安知縣。
HCH_012_226_000007	布袍脫粟，令老僕藝蔬自給。
HCH_012_226_000008	總督胡宗憲嘗語人曰：「昨聞海令為母壽，市肉二斤矣。」
HCH_012_226_000009	宗憲子過淳安，怒驛吏，倒懸之。
HCH_012_226_000010	瑞曰：「曩胡公按部，令所過毋供張。今其行裝盛，必非胡公子。」
HCH_012_226_000011	發雚金數千，納之庫，馳告宗憲，宗憲無以罪。
HCH_012_226_000012	都御史鄢懋卿行部過，供具甚薄，抗言邑小不足容車馬。
HCH_012_226_000013	懋卿恚甚。
HCH_012_226_000014	然素聞瑞名，為斂威去，而屬巡鹽御史袁淳論瑞及慈谿知縣霍與瑕。
HCH_012_226_000015	與瑕，尚書韜子，亦抗直不諂懋卿者也。
HCH_012_226_000016	時瑞已擢嘉興通判，坐謫興國州判官。
HCH_012_226_000017	久之，陸光祖為文選，擢瑞戶部主事。
HCH_012_226_000018	時世宗享國日久，不親朝，深居西苑，專意齋醮。
HCH_012_226_000019	督撫大吏爭上符瑞，禮官輒表賀。
HCH_012_226_000020	廷臣自楊最、楊爵得罪後，無敢言時政者。
HCH_012_226_000021	四十五年二月，瑞獨上疏曰：臣聞君者天下臣民萬物之主也，其任至重。
HCH_012_226_000022	欲稱其任，亦惟以責寄臣工，使盡言而已。
HCH_012_226_000023	臣請披瀝肝膽，為陛下陳之。
HCH_012_226_000024	昔漢文帝賢主也，賈誼猶痛哭流涕而言。
HCH_012_226_000025	非苛責也，以文帝性仁而近柔，雖有及民之美，將不免於怠廢，此誼所大慮也。
HCH_012_226_000026	陛下天資英斷，過漢文遠甚。
HCH_012_226_000027	然文帝能充其仁恕之性，節用愛人，使天下貫朽粟陳，幾致刑措。
HCH_012_226_000028	陛下則銳精未久，妄念牽之而去，反剛明之質而誤用之。
HCH_012_226_000029	至謂遐舉可得，一意修真，竭民脂膏，濫興土木，二十餘年不視朝，法紀弛矣。
HCH_012_226_000030	數年推廣事例，名器濫矣。
HCH_012_226_000031	二王不相見，人以為薄于父子。
HCH_012_226_000032	以猜疑誹謗戮辱臣下，人以為薄於君臣。
HCH_012_226_000033	樂西苑而不返，人以為薄于夫婦。
HCH_012_226_000034	吏貪官橫，民不聊生，水旱無時，盜賊滋熾。
HCH_012_226_000035	陛下試思今日天下，為何如乎？
HCH_012_226_000036	邇者嚴嵩罷相，世蕃極刑，一時差快人意。
HCH_012_226_000037	然嵩罷之後，猶嵩未相之前而已，世非甚清明也，不及漢文帝遠甚。
HCH_012_226_000038	蓋天下之人不直陛下久矣。
HCH_012_226_000039	古者人君有過，賴臣工匡弼。
HCH_012_226_000040	今乃修齋建醮，相率進香，仙桃天藥，同辭表賀。
HCH_012_226_000041	建宮築室，則將作竭力經營；購香市寶，則度支差求四出。
HCH_012_226_000042	陛下誤舉之，而諸臣誤順之，無一人肯為陛下正言者，諛之甚也。
HCH_012_226_000043	然愧心餒氣，退有後言，欺君之罪何如！
HCH_012_226_000044	夫天下者，陛下之家，人未有不顧其家者，內外臣工皆所以奠陛下之家而磐石之者也。
HCH_012_226_000045	一意修真，是陛下之心惑。
HCH_012_226_000046	過於苛斷，是陛下之情偏。
HCH_012_226_000047	而謂陛下不顧其家，人情乎？
HCH_012_226_000048	諸臣徇私廢公，得一官多以欺敗，多以不事事敗，實有不足當陛下意者。
HCH_012_226_000049	其不然者，君心臣心偶不相值也，而遂謂陛下厭薄臣工，是以拒諫。
HCH_012_226_000050	執一二之不當，疑千百之皆然，陷陛下于過舉，而恬不知怪，諸臣之罪大矣。
HCH_012_226_000051	《記》曰「上人疑則百姓惑，下難知則君長勞」，此之謂也。
HCH_012_226_000052	且陛下之誤多矣，其大端在於齋醮。
HCH_012_226_000053	齋醮所以求長生也。
HCH_012_226_000054	自古聖賢垂訓，修身立命曰「順受其正」矣，未聞有所謂長生之說。
HCH_012_226_000055	堯、舜、禹、湯、文、武，聖之盛也，未能久世，下之亦未見方外士自漢、唐、宋至今存者。
HCH_012_226_000056	陛下受術于陶仲文，以師稱之。
HCH_012_226_000057	仲文則既死矣，彼不長生，而陛下何獨求之？
HCH_012_226_000058	至於仙桃天藥，怪妄尤甚。
HCH_012_226_000059	昔宋真宗得天書於乾祐山，孫奭曰：「天何言哉？豈有書也！」
HCH_012_226_000060	桃必采而後得，藥必制而後成。
HCH_012_226_000061	今無故獲此二物，是有足而行耶？
HCH_012_226_000062	曰天賜者，有手執而付之耶？
HCH_012_226_000063	此左右奸人，造為妄誕以欺陛下，而陛下誤信之，以為實然，過矣。
HCH_012_226_000064	陛下將謂懸刑賞以督責臣下，則分理有人，天下無不可治，而修真為無害已乎？
HCH_012_226_000065	太甲曰：「有言逆於汝心，必求諸道；有言遜於汝志，必求諸非道。」
HCH_012_226_000066	用人而必欲其唯言莫違，此陛下之計左也。
HCH_012_226_000067	既觀嚴嵩，有一不順陛下者乎？
HCH_012_226_000068	昔為同心，今為戮首矣。
HCH_012_226_000069	梁材守道守官，陛下以為逆者也，歷任有聲，官戶部者至今首稱之。
HCH_012_226_000070	然諸臣寧為嵩之順，不為材之逆，得非有以窺陛下之微，而潛為趨避乎？
HCH_012_226_000071	即陛下亦何利於是。
HCH_012_226_000072	陛下誠知齋齋無益，一旦翻然悔悟，日禦正朝，與宰相、侍從、言官講求天下利害，洗數十年之積誤，置身於堯、舜、禹、湯、文、武之間，使諸臣亦得自洗數十年阿君之恥，置其身於皋、夔、伊、傅之列，天下何憂不治，萬事何憂不理。
HCH_012_226_000073	此在陛下一振作間而已。
HCH_012_226_000074	釋此不為，而切切於輕舉度世，敝精勞神，以求之於系風捕影、茫然不可知之域，臣見勞苦終身，而終於無所成也。
HCH_012_226_000075	今大臣持祿而好諛，小臣畏罪而結舌，臣不勝憤恨。
HCH_012_226_000076	是以冒死，願盡區區，惟陛下垂聽焉。
HCH_012_226_000077	帝得疏，大怒，抵之地，顧左右曰：「趣執之，無使得遁！」
HCH_012_226_000078	宦官黃錦在側曰：「此人素有癡名。聞其上疏時，自知觸忤當死，市一棺，訣妻子，待罪於朝，僮僕亦奔散無留者，是不遁也。」
HCH_012_226_000079	帝默然。
HCH_012_226_000080	少頃復取讀之，日再三，為感動太息，留中者數月。
HCH_012_226_000081	嘗曰：「此人可方比干，第朕非紂耳。」
HCH_012_226_000082	會帝有疾，煩懣不樂，召閣臣徐階議內禪，因曰：「海瑞言俱是。朕今病久，安能視事。」
HCH_012_226_000083	又曰：「朕不自謹惜，致此疾困。使朕能出禦便殿，豈受此人詬詈耶？」
HCH_012_226_000084	遂逮瑞下詔獄，究主使者。
HCH_012_226_000085	尋移刑部，論死。
HCH_012_226_000086	獄上，仍留中。
HCH_012_226_000087	戶部司務何以尚者，揣帝無殺瑞意，疏請釋之。
HCH_012_226_000088	帝怒，命錦衣衛杖之百，錮詔獄，晝夜搒訊。
HCH_012_226_000089	越二月，帝崩，穆宗立，兩人並獲釋。
HCH_012_226_000090	帝初崩，外庭多未知。
HCH_012_226_000091	提牢主事聞狀，以瑞且見用，設酒饌款之。
HCH_012_226_000092	瑞自疑當赴西市，恣飲啖，不顧。
HCH_012_226_000093	主事因附耳語：「宮車適晏駕，先生今即出大用矣。」
HCH_012_226_000094	瑞曰：「信然乎？」
HCH_012_226_000095	即大慟，盡嘔出所飲食，隕絕於地，終夜哭不絕聲。
HCH_012_226_000096	既釋，復故官。
HCH_012_226_000097	俄改兵部。
HCH_012_226_000098	擢尚寶丞，調大理。
HCH_012_226_000099	隆慶元年，徐階為御史劉康所劾，瑞言：「階事先帝，無能救于神仙土木之誤，畏威保位，誠亦有之。然自執政以來，憂勤國事，休休有容，有足多者。康乃甘心鷹犬，捕噬善類，其罪又浮于高拱。」
HCH_012_226_000100	人韙其言。
HCH_012_226_000101	曆兩京左、右通政。
HCH_012_226_000102	三年夏，以右僉都御史巡撫應天十府。
HCH_012_226_000103	屬吏憚其威，墨者多自免去。
HCH_012_226_000104	有勢家硃丹其門，聞瑞至，黝之。
HCH_012_226_000105	中人監織造者，為減輿從。
HCH_012_226_000106	瑞銳意興革，請浚吳淞、白茆，通流入海，民賴其利。
HCH_012_226_000107	素疾大戶兼併，力摧豪強，撫窮弱。
HCH_012_226_000108	貧民田入于富室者，率奪還之。
HCH_012_226_000109	徐階罷相裏居，按問其家無少貸。
HCH_012_226_000110	下令飆發淩厲，所司惴惴奉行，豪有力者至竄他郡以避。
HCH_012_226_000111	而奸民多乘機告訐，故家大姓時有被誣負屈者。
HCH_012_226_000112	又裁節郵傳冗費。
HCH_012_226_000113	士大夫出其境率不得供頓，由是怨頗興。
HCH_012_226_000114	都給事中舒化論瑞，滯不達政體，宜以南京清秩處之，帝猶優詔獎瑞。
HCH_012_226_000115	已而給事中戴鳳翔劾瑞庇奸民，魚肉搢紳，沽名亂政，遂改督南京糧儲。
HCH_012_226_000116	瑞撫吳甫半歲。
HCH_012_226_000117	小民聞當去，號泣載道，家繪像祀之。
HCH_012_226_000118	將履新任，會高拱掌吏部，素銜瑞，並其職于南京戶部，瑞遂謝病歸。
HCH_012_226_000119	萬曆初，張居正當國，亦不樂瑞，令巡按御史廉察之。
HCH_012_226_000120	御史至山中視，瑞設雞黍相對食，居舍蕭然，御史歎息去。
HCH_012_226_000121	居正憚瑞峭直，中外交薦，卒不召。
HCH_012_226_000122	十二年冬，居正已卒，吏部擬用左通政。
HCH_012_226_000123	帝雅重瑞名，畀以前職。
HCH_012_226_000124	明年正月，召為南京右僉都御史，道改南京吏部右侍郎，瑞年已七十二矣。
HCH_012_226_000125	疏言衰老垂死，願比古人屍諫之義，大略謂：「陛下勵精圖治，而治化不臻者，貪吏之刑輕也。諸臣莫能言其故，反借待士有禮之說，交口而文其非。夫待士有禮，而民則何辜哉？」
HCH_012_226_000126	因舉太祖法剝皮囊草及洪武三十年定律枉法八十貫論絞，謂今當用此懲貪。
HCH_012_226_000127	其他規切時政，語極剴切。
HCH_012_226_000128	獨勸帝虐刑，時議以為非。
HCH_012_226_000129	御史梅鶤祚劾之。
HCH_012_226_000130	帝雖以瑞言為過，然察其忠誠，為奪鶤祚俸。
HCH_012_226_000131	帝屢欲召用瑞，執政陰沮之，乃以為南京右都御史。
HCH_012_226_000132	諸司素偷惰，瑞以身矯之。
HCH_012_226_000133	有御史偶陳戲樂，欲遵太祖法予之杖。
HCH_012_226_000134	百司惴恐，多患苦之。
HCH_012_226_000135	提學御史房寰恐見糾擿，欲先發，給事中鐘宇淳復慫恿，寰再上疏醜詆。
HCH_012_226_000136	瑞亦屢疏乞休，慰留不允。
HCH_012_226_000137	十五年，卒官。
HCH_012_226_000138	瑞無子。
HCH_012_226_000139	卒時，僉都御史王用汲入視，葛幃敝籝，有寒士所不堪者。
HCH_012_226_000140	因泣下，醵金為斂。
HCH_012_226_000141	小民罷市。
HCH_012_226_000142	喪出江上，白衣冠送者夾岸，酹而哭者百里不絕。
HCH_012_226_000143	贈太子太保，諡忠介。
HCH_012_226_000144	瑞生平為學，以剛為主，因自號剛峰，天下稱剛峰先生。
HCH_012_226_000145	嘗言：「欲天下治安，必行井田。不得已而限田，又不得已而均稅，尚可存古人遺意。」
HCH_012_226_000146	故自為縣以至巡撫，所至力行清丈，頒一條鞭法。
HCH_012_226_000147	意主于利民，而行事不能無偏雲。
HCH_012_226_000148	始救瑞者何以尚，廣西興業人，起家鄉舉。
HCH_012_226_000149	出獄，擢光祿丞。
HCH_012_226_000150	又以劾高拱坐謫。
HCH_012_226_000151	拱罷，起雷州推官，終南京鴻臚卿。
HCH_012_226_000152	丘橓，字茂實，諸城人。
HCH_012_226_000153	嘉靖二十九年進士。
HCH_012_226_000154	由行人擢刑科給事中。
HCH_012_226_000155	三十四年七月，倭六七十人失道流劫，自太平直逼南京。
HCH_012_226_000156	兵部尚書張時徹等閉城不敢出，閱二日引去。
HCH_012_226_000157	給事御史劾時徹及守備諸臣罪，時徹亦上其事，詞多隱護。
HCH_012_226_000158	舜劾其欺罔，時徹及侍郎陳洙皆罷。
HCH_012_226_000159	帝久不視朝，嚴嵩專國柄。
HCH_012_226_000160	橓言權臣不宜獨任，朝綱不宜久弛，嚴嵩深憾之。
HCH_012_226_000161	已，劾嵩党寧夏巡撫謝淮、應天府尹孟淮貪黷，謝淮坐免。
HCH_012_226_000162	是年，嵩敗，舜劾由嵩進者順天巡撫徐紳等五人，帝為黜其三。
HCH_012_226_000163	遷兵科都給事中。
HCH_012_226_000164	劾南京兵部尚書李遂、鎮守兩廣平江伯陳王謨、錦衣指揮魏大經鹹以賄進，大經下吏，王謨革任。
HCH_012_226_000165	已，又劾罷浙江總兵官盧鏜。
HCH_012_226_000166	寇犯通州，總督楊選被逮。
HCH_012_226_000167	及寇退，橓偕其僚陳善後事宜，指切邊弊。
HCH_012_226_000168	帝以橓不早劾選，杖六十，斥為民，余謫邊方雜職。
HCH_012_226_000169	橓歸，敝衣一篋，圖書一束而已。
HCH_012_226_000170	隆慶初，起任禮科，不至。
HCH_012_226_000171	尋擢南京太常少卿，進大理少卿。
HCH_012_226_000172	病免。
HCH_012_226_000173	神宗立，言官交薦。
HCH_012_226_000174	張居正惡之，不召。
HCH_012_226_000175	萬曆十一年秋，起右通政。
HCH_012_226_000176	未上，擢左副都御史，以一柴車就道。
HCH_012_226_000177	既入朝，陳吏治積弊八事，言：臣去國十餘年，士風漸靡，吏治轉汙，遠近蕭條，日甚一日。
HCH_012_226_000178	此非世運適然，由風紀不振故也。
HCH_012_226_000179	如京官考滿，河南道例書稱職。
HCH_012_226_000180	外吏給由，撫按官概與保留。
HCH_012_226_000181	以朝廷甄別之典，為人臣交市之資。
HCH_012_226_000182	敢徇私而不敢盡法，惡無所懲，賢亦安勸？
HCH_012_226_000183	此考績之積弊，一也。
HCH_012_226_000184	御史巡方，未離國門，而密屬之姓名，已盈私牘。
