HCH_009_002_000000	太祖應乾興運昭德定功仁明莊孝大聖武元皇帝，諱旻，本諱阿骨打，世祖第二子也。
HCH_009_002_000001	母曰翼簡皇后拏懶氏。
HCH_009_002_000002	遼道宗時有五色雲氣屢出東方，大若二千斛囷倉之狀，司天孔致和竊謂人曰：「其下當生異人，建非常之事。天以象告，非人力所能爲也。」
HCH_009_002_000003	咸雍四年戊申七月一日，太祖生。
HCH_009_002_000004	幼時與群兒戲，力兼數輩，舉止端重，世祖尤愛之。
HCH_009_002_000005	世祖與臘碚、麻產戰于野鵲水，世祖被四創，疾困，坐太祖于膝，循其發而撫之，曰：「此兒長大，吾復何憂？」
HCH_009_002_000006	十歲，好弓矢。
HCH_009_002_000007	甫成童，即善射。
HCH_009_002_000008	一日，遼使坐府中，顧見太祖手持弓矢，使射群烏，連三發皆中。
HCH_009_002_000009	遼使矍然曰：「奇男子也！」
HCH_009_002_000010	太祖嘗宴紇石烈部活離罕家，散步門外，南望高阜，使衆射之，皆不能至。
HCH_009_002_000011	太祖一發過之，度所至逾三百二十步。
HCH_009_002_000012	宗室謾都訶最善射遠，其不及者猶百步也。
HCH_009_002_000013	天德三年，立射碑以識焉。
HCH_009_002_000014	世祖伐卜灰，太祖因辭不失請從行，世祖不許而心異之。
HCH_009_002_000015	烏春既死，窩謀罕請和。
HCH_009_002_000016	既請和，復來攻，遂圍其城。
HCH_009_002_000017	太祖年二十三，被短甲，免胄，不介馬，行圍號令諸軍。
HCH_009_002_000018	城中望而識之。
HCH_009_002_000019	壯士太峪乘駿馬持槍出城，馳刺太祖。
HCH_009_002_000020	太祖不及備，舅氏活臘胡馳出其間，擊太峪，槍折，刺中其馬，太峪僅得免。
HCH_009_002_000021	嘗與沙忽帶出營殺略，不令世祖知之。
HCH_009_002_000022	且還，敵以重兵追之。
HCH_009_002_000023	獨行隘巷中，失道，追者益急。
HCH_009_002_000024	值高岸與人等，馬一躍而過，追者乃還。
HCH_009_002_000025	世祖寢疾，太祖以事如遼統軍司。
HCH_009_002_000026	將行，世祖戒之曰：「汝速了此事，五月未半而歸，則我猶及見汝也。」
HCH_009_002_000027	太祖往見曷魯騷古統軍，既畢事，前世祖沒一日還至家。
HCH_009_002_000028	世祖見太祖來，所請事皆如志，喜甚，執太祖手，抱其頸而撫之，謂穆宗曰：「烏雅束柔善，惟此子足了契丹事。」
HCH_009_002_000029	穆宗亦雅重太祖，出入必俱。
HCH_009_002_000030	太祖遠出而歸，穆宗必親迓之。
HCH_009_002_000031	世祖已擒臘醅，麻產尚據直屋鎧水。
HCH_009_002_000032	肅宗使太祖先取麻產家屬，康宗至直屋鎧水圍之。
HCH_009_002_000033	太祖會軍，親獲麻產，獻馘于遼。
HCH_009_002_000034	遼命太祖爲詳穩，仍命穆宗、辭不失、歡都皆爲詳穩。
HCH_009_002_000035	久之。
HCH_009_002_000036	以偏師伐泥厖古部跋黑、播立開等，乃以達塗阿爲鄉導，沿帥水夜行襲之，鹵其妻子。
HCH_009_002_000037	初，溫都部跋忒殺唐括部跋葛，穆宗命太祖伐之。
HCH_009_002_000038	太祖入辭，謂穆宗曰：「昨夕見赤祥，此行必克敵。」
HCH_009_002_000039	遂行。
HCH_009_002_000040	是歲大雪，寒甚。
HCH_009_002_000041	與烏古論部兵沿土溫水過末鄰鄉，追及跋忒于阿斯溫山北濼之間，殺之。
HCH_009_002_000042	軍還，穆宗親迓太祖于靄建村。
HCH_009_002_000043	撒改以都統伐留可，謾都訶合石土門伐敵庫德。
HCH_009_002_000044	撒改與將佐議，或欲先平邊地部落城堡，或欲徑攻留可城，議不能決，願得太祖至軍中。
HCH_009_002_000045	穆宗使太祖往，曰：「事必有可疑。軍之未發者止有甲士七十，盡以畀汝。」
HCH_009_002_000046	謾都訶在米里迷石罕城下，石土門未到，土人欲執謾都訶以與敵，使來告急，遇太祖于斜堆甸。
HCH_009_002_000047	太祖曰：「國兵盡在此矣。使敵先得志于謾都訶，後雖種誅之，何益也。」
HCH_009_002_000048	乃分甲士四十與之。
HCH_009_002_000049	太祖以三十人指撒改軍。
HCH_009_002_000050	道遇人曰：「敵已據盆搦嶺南路矣。」
HCH_009_002_000051	衆欲由沙偏嶺往，太祖曰：「汝等畏敵耶？」
HCH_009_002_000052	既度盆搦嶺，不見敵，已而聞敵乃守沙偏嶺以拒我。
HCH_009_002_000053	及至撒改軍，夜急攻之，遲明破其衆。
HCH_009_002_000054	是時，留可、塢塔皆在遼。
HCH_009_002_000055	既破留可，還攻塢塔城，城中人以城降。
HCH_009_002_000056	初，太祖過盆搦嶺，經塢塔城下，從騎有後者，塢塔城人攻而奪之釜。
HCH_009_002_000057	太祖駐馬呼謂之曰：「毋取我炊食器。」
HCH_009_002_000058	其人謾言曰：「公能來此，何憂不得食。」
HCH_009_002_000059	太祖以鞭指之曰：「吾破留可，即于汝乎取之。」
HCH_009_002_000060	至是，其人持釜而前曰：「奴輩誰敢毀祥穩之器也。」
HCH_009_002_000061	遣蒲家奴招詐都，詐都乃降，釋之。
HCH_009_002_000062	穆宗將伐蕭海里，募兵得千餘人。
HCH_009_002_000063	女直兵未嘗滿千，至是，太祖勇氣自倍，曰：「有此甲兵，何事不可圖也！」
HCH_009_002_000064	海里來戰，與遼兵合，因止遼人，自爲戰。
HCH_009_002_000065	勃海留守以甲贈太祖，太祖亦不受。
HCH_009_002_000066	穆宗問何爲不受？
HCH_009_002_000067	曰：「被彼甲而戰，戰勝則是因彼成功也。」
HCH_009_002_000068	穆宗末年，令諸部不得擅置信牌馳驛訊事，號令自此始一，皆自太祖啟之。
HCH_009_002_000069	康宗七年，歲不登，民多流莩，強者轉而爲盜。
HCH_009_002_000070	歡都等欲重其法，爲盜者皆殺之。
HCH_009_002_000071	太祖曰：「以財殺人，不可！財者，人所致也。」
HCH_009_002_000072	遂減盜賊征償法爲征三倍。
HCH_009_002_000073	民間多逋負，賣妻子不能償，康宗與官屬會議，太祖在外庭以帛系杖端，麾其衆，令曰：「今貧者不能自活，賣妻子以償債。骨肉之愛，人心所同。自今三年勿征，過三年徐圖之。」
HCH_009_002_000074	衆皆聽令，聞者感泣，自是遠近歸心焉。
HCH_009_002_000075	歲癸巳十月，康宗夢逐狼，屢發不能中，太祖前射中之。
HCH_009_002_000076	旦日，以所夢問僚佐，衆曰：「吉。兄不能得而弟得之之兆也。」
HCH_009_002_000077	是月，康宗即世，太祖襲位爲都勃極烈。
HCH_009_002_000078	遼使阿息保來，曰：「何以不告喪？」
HCH_009_002_000079	太祖曰：「有喪不能吊，而乃以爲罪乎？」
HCH_009_002_000080	他日，阿息保復來，徑騎至康宗殯所，閱賵馬，欲取之。
HCH_009_002_000081	太祖怒，將殺之，宗雄諫而止。
HCH_009_002_000082	既而遼命久不至。
HCH_009_002_000083	遼主好畋獵、淫酗，怠于政事，四方奏事，往往不見省。
HCH_009_002_000084	紇石烈阿疏既奔遼，穆宗取其城及其部衆，不能歸。
HCH_009_002_000085	遂與族弟銀朮可、辭里罕陰結南江居人渾都僕速，欲與俱亡入高麗。
HCH_009_002_000086	事覺，太祖使夾古撒喝捕之，而銀朮可、辭里罕先爲遼戍所獲，渾都僕速已亡去，撒喝取其妻子而還。
HCH_009_002_000087	二年甲午六月，太祖至江西，遼使使來致襲節度之命。
HCH_009_002_000088	初，遼每歲遣使市名鷹海東青于海上，道出境內，使者貪縱，征索無藝，公私厭苦之。
HCH_009_002_000089	康宗嘗以不遣阿疏爲言，稍拒其使者。
HCH_009_002_000090	太祖嗣節度，亦遣蒲家奴往索阿疏，故常以此二者爲言，終至于滅遼然後已。
HCH_009_002_000091	至是，復遣宗室習古乃、完顏銀朮可往索阿疏。
HCH_009_002_000092	習古乃等還，具言遼主驕肆廢弛之狀。
HCH_009_002_000093	于是召官僚耆舊，以伐遼告之，使備沖要，建城堡，修戎器，以聽後命。
HCH_009_002_000094	遼統軍司聞之，使節度使捏哥來問狀，曰：「汝等有異志乎？修戰具，傷守備，將以誰禦？」
HCH_009_002_000095	太祖答之曰：「設險自守，又何問哉！」
HCH_009_002_000096	遼復遣阿息保來詰之。
HCH_009_002_000097	太祖謂之曰：「我小國也，事大國不敢廢禮。大國德澤不施，而逋逃是主，以此字小，能無望乎？若以阿疏與我，請事朝貢。苟不獲已，豈能束手受制也。」
HCH_009_002_000098	阿息保還，遼人始爲備，命統軍蕭撻不野調諸軍于甯江州。
HCH_009_002_000099	太祖聞之，使僕聒剌復索阿疏，實觀其形勢。
HCH_009_002_000100	僕聒剌還言：「遼兵多，不知其數。」
HCH_009_002_000101	太祖曰：「彼初調兵，豈能遽集如此。」
HCH_009_002_000102	復遣胡沙保往，還言：「惟四院統軍司與甯江州軍及渤海八百人耳。」
HCH_009_002_000103	太祖曰：「果如吾言。」
HCH_009_002_000104	謂諸將佐曰：「遼人知我將舉兵，集諸路軍備我，我必先發制之，無爲人制。」
HCH_009_002_000105	衆皆曰：「善。」
HCH_009_002_000106	乃入見宣靖皇后，告以伐遼事。
HCH_009_002_000107	后曰：「汝嗣父兄立邦家，見可則行。吾老矣，無貽我憂，汝必不至是也。」
HCH_009_002_000108	太祖感泣，奉觴爲壽。
HCH_009_002_000109	即奉后率諸將出門，舉觴東向，以遼人荒肆，不歸阿疏，並己用兵之意，禱于皇天后土。
HCH_009_002_000110	酹畢，后命太祖正坐，與僚屬會酒，號令諸部。
HCH_009_002_000111	使婆盧火征移懶路迪古乃兵，斡魯古、阿魯撫諭斡忽、急賽兩路系遼籍女直，實不迭往完睹路執遼障鷹官達魯古部副使辭列、甯江州渤海大家奴。
HCH_009_002_000112	于是達魯古部實里館來告曰：「聞舉兵伐遼，我部誰從？」
HCH_009_002_000113	太祖曰：「吾兵雖少，舊國也，與汝鄰境，固當從我。若畏遼人，自往就之。」
HCH_009_002_000114	九月，太祖進軍甯江州，次寥晦城。
HCH_009_002_000115	婆盧火徵兵後期，杖之，復遣督軍。
HCH_009_002_000116	諸路兵皆會于來流水，得二千五百人。
HCH_009_002_000117	致遼之罪，申告于天地曰：「世事遼國，恪修職貢，定烏春、窩謀罕之亂，破蕭海里之衆，有功不省，而侵侮是加。罪人阿疏，屢請不遣。今將問罪于遼，天地其鑒佑之。」
HCH_009_002_000118	遂命諸將傳挺而誓曰：「汝等同心盡力，有功者，奴婢部曲爲良，庶人官之，先有官者敘進，輕重視功。苟違誓言，身死梃下，家屬無赦。」
HCH_009_002_000119	師次唐括帶斡甲之地，諸軍禳射，介而立，有光如烈火，起于人足及戈矛之上，人以爲兵祥。
HCH_009_002_000120	明日，次紮只水，光見如初。
HCH_009_002_000121	將至遼界，先使宗幹督士卒夷塹。
HCH_009_002_000122	既度遇渤海軍攻我左翼七謀克，衆少卻，敵兵直犯中軍。
HCH_009_002_000123	斜也出戰，哲垤先驅。
HCH_009_002_000124	太祖曰：「戰不可易也。」
HCH_009_002_000125	遣宗幹止之。
HCH_009_002_000126	宗幹馳出斜也前，控止哲垤馬，斜也遂與俱還。
HCH_009_002_000127	敵人從之，耶律謝十墜馬，遼人前救。
HCH_009_002_000128	太祖射救者斃。
HCH_009_002_000129	並射謝十中之。
HCH_009_002_000130	有騎突前，又射之，徹紮洞胸。
HCH_009_002_000131	謝十拔箭走，追射之，中其背，飲矢之半，僨而死，獲所乘馬。
HCH_009_002_000132	宗幹與數騎陷遼軍中，太祖救之，免胄戰。
HCH_009_002_000133	或自傍射之，矢拂于顙。
HCH_009_002_000134	太祖顧見射者，一矢而斃。
HCH_009_002_000135	謂將士曰：「盡敵而止。」
HCH_009_002_000136	衆從之，勇氣自倍。
HCH_009_002_000137	敵大奔，相蹂踐死者十七八。
HCH_009_002_000138	撒改在別路，不及會戰，使人以戰勝告之，而以謝十馬賜之。
HCH_009_002_000139	撒改使其子宗翰、完顏希尹來賀，且稱帝，因勸進。
