HCH_015_014_000001	揚州南徐州豫州南豫州南兖州北兖州北徐州青州冀州江州廣州交州越州京輦神皐。
HCH_015_014_000002	漢、魏刺史鎮壽春，吳置持節督州牧八人，不見揚州都督所治。
HCH_015_014_000003	晉太康元年，吳平，刺史周浚始鎮江南。
HCH_015_014_000004	元帝爲都督，渡江左，遂成帝畿，望實隆重。
HCH_015_014_000005	領郡如左：鎮京口。
HCH_015_014_000006	吳置幽州牧，屯兵在焉。
HCH_015_014_000007	丹徒水道入通吳會，孫權初鎮之。
HCH_015_014_000008	《爾雅》曰：「絕高爲京。」
HCH_015_014_000009	今京城因山爲壘，望海臨江，緣江爲境，似河內郡，內鎮優重。
HCH_015_014_000010	宋氏以來，桑梓帝宅，江左流寓，多出膏腴。
HCH_015_014_000011	領郡如左：義興郡南琅邪郡臨沂江乘蘭陵承譙臨淮郡司吾武陽甄城陽樂徐彭城武原傅陽蕃薛開陽洨僮下邳呂杼秋北陵南高平郡廩丘東燕會鄄榆次安丘新樂東武高密南城廣平考城晉元帝永昌元年，刺史祖約避胡賊，自譙還治壽春。
HCH_015_014_000012	壽春，淮南一都之會，地方千餘里，有陂田之饒，漢、魏以來揚州刺史所治，北拒淮水，《禹貢》云「淮海惟揚州」也。
HCH_015_014_000013	咸和四年，祖約以城降胡，復以庾亮爲刺史，治蕪湖。
HCH_015_014_000014	蕪湖，浦水南入，亦爲險奧。
HCH_015_014_000015	劉備謂孫權曰：「江東先有建業，次有蕪湖。」
HCH_015_014_000016	庾亮經略中原，以毛寶爲刺史，治邾城，爲胡所覆。
HCH_015_014_000017	荊州刺史庾翼領州，在武昌。
HCH_015_014_000018	諸郡失土荒民數千無佃業，翼表移西陽、新蔡二郡荒民就陂田於尋陽。
HCH_015_014_000019	穆帝永和五年，胡偽揚州刺史王浹以壽春降，而刺史或治歷陽，進馬頭及譙，不復歸舊鎮也。
HCH_015_014_000020	哀帝隆和元年，袁真還壽春。
HCH_015_014_000021	真爲桓溫所滅，溫以子熙爲刺史，戍歷陽。
HCH_015_014_000022	孝武寧康元年，桓沖移姑熟，以邊寇未靜，分割譙、梁二郡見民，置之浣川，立爲南譙、梁郡。
HCH_015_014_000023	十二年，桓石虔還歷陽。
HCH_015_014_000024	庾准爲刺史，表省諸權置，皆還如本。
HCH_015_014_000025	義熙二年，劉毅復鎮姑熟。
