HCH_012_144_000001	盛庸，不知何許人。
HCH_012_144_000002	洪武中，累官至都指揮。
HCH_012_144_000003	建文初，以參將從耿炳文伐燕。
HCH_012_144_000004	李景隆代炳文，遂隸景隆麾下。
HCH_012_144_000005	二年四月，景隆敗於白溝河，走濟南。
HCH_012_144_000006	燕師隨至，景隆復南走。
HCH_012_144_000007	庸與參政鐵鉉悉力固守，燕師攻圍三月不克。
HCH_012_144_000008	庸、鉉乘夜出兵掩擊，燕眾大敗，解圍去。
HCH_012_144_000009	乘勝復德州。
HCH_012_144_000010	九月，論功封歷城侯，祿千石。
HCH_012_144_000011	尋命為平燕將軍，充總兵官。
HCH_012_144_000012	陳暉、平安為左右副總兵，馬溥、徐真為左右參將，進鉉兵部尚書參贊軍務。
HCH_012_144_000013	時吳傑、平安守定州，庸駐德州，徐凱屯滄州，為犄角。
HCH_012_144_000014	是冬，燕兵襲滄州，破，擒凱。
HCH_012_144_000015	掠其輜重，進薄濟寧。
HCH_012_144_000016	庸引兵屯東昌以邀之，背城而陣。
HCH_012_144_000017	燕王帥兵直前薄庸軍左翼，不動。
HCH_012_144_000018	復沖中堅，庸開陣縱王入，圍之數重。
HCH_012_144_000019	燕將朱能帥番騎來救，王乘間突圍出。
HCH_012_144_000020	而燕軍為火器所傷甚眾，大將張玉死於陣。
HCH_012_144_000021	王獨以百騎殿，退至館陶。
HCH_012_144_000022	庸檄吳傑、平安自真定遮燕歸路。
HCH_012_144_000023	明年正月，傑、平安戰深州不利，燕師始得歸。
HCH_012_144_000024	是役也，燕精銳喪失幾盡，庸軍聲大振，帝為享廟告捷。
HCH_012_144_000025	三月，燕兵復南出保定。
HCH_012_144_000026	庸營夾河。
HCH_012_144_000027	王將輕騎來覘，掠陣而過。
HCH_012_144_000028	庸遣千騎追之，為燕兵射卻。
HCH_012_144_000029	及戰，庸軍列盾以進。
HCH_012_144_000030	王令步卒先攻，騎兵乘間馳入。
HCH_012_144_000031	庸麾軍力戰，斬其將譚淵。
HCH_012_144_000032	而朱能、張武等帥眾殊死鬥。
HCH_012_144_000033	王以勁騎貫陣與能合。
HCH_012_144_000034	庸部驍將莊得、皂旗張等俱戰死。
HCH_012_144_000035	是日，燕軍幾敗。
HCH_012_144_000036	明日復戰，燕軍東北，庸軍西南，自辰至未，互勝負。
HCH_012_144_000037	兩軍皆疲，將士各坐息。
HCH_012_144_000038	復起戰，忽東北風大起，飛塵蔽天。
HCH_012_144_000039	燕兵乘風大呼，左右橫擊。
HCH_012_144_000040	庸大敗走還德州，自是氣沮。
HCH_012_144_000041	已而燕將李遠焚糧艘於沛縣，庸軍遂乏餉。
HCH_012_144_000042	明年，靈璧戰敗，平安等被執。
HCH_012_144_000043	庸獨引軍而南，列戰艦淮南岸。
HCH_012_144_000044	燕將邱福等潛濟，出庸後。
HCH_012_144_000045	庸不能支，退為守江計。
HCH_012_144_000046	燕兵渡淮，由盱眙陷揚州。
HCH_012_144_000047	庸禦戰於六合及浦子口，皆失利，都督陳瑄帥舟師降燕，燕兵遂渡江。
HCH_012_144_000048	庸倉卒聚海艘出高資港迎戰，復敗，軍益潰散。
HCH_012_144_000049	成祖入京師，庸以余眾降，即命守淮安。
HCH_012_144_000050	尋賜敕曰：「比以山東未定，命卿鎮守淮安。今鐵鉉就獲，諸郡悉平。朕念山東久困兵革，憊於轉輸。卿宜輯兵養民，以稱朕意。」
HCH_012_144_000051	永樂元年，致仕。
HCH_012_144_000052	無何，千戶王欽訐庸罪狀，立進欽指揮同知。
HCH_012_144_000053	於是都御史陳瑛劾庸怨望有異圖。
HCH_012_144_000054	庸自殺。
HCH_012_144_000055	平安，滁人，小字保兒。
HCH_012_144_000056	父定，從太祖起兵，官濟寧衛指揮僉事。
HCH_012_144_000057	從常遇春下元都，戰沒。
HCH_012_144_000058	安初為太祖養子，驍勇善戰，力舉數百斤。
HCH_012_144_000059	襲父職，遷密雲指揮使，進右軍都督僉事。
HCH_012_144_000060	建文元年，伐燕，安以列將從征。
HCH_012_144_000061	及李景隆代將，用安為先鋒。
HCH_012_144_000062	燕王將渡白溝河，安伏萬騎河側邀之。
HCH_012_144_000063	燕王曰：「平安，豎子耳。往歲從出塞，識我用兵，今當先破之。」
HCH_012_144_000064	及戰，不能挫安。
HCH_012_144_000065	時南軍六十萬，列陣河上。
HCH_012_144_000066	王帥將士馳入陣，戰至暝，互有殺傷。
HCH_012_144_000067	及夜深，乃各斂軍。
HCH_012_144_000068	燕王失道，從者僅三騎。
HCH_012_144_000069	下馬伏地視河流，辨東西，始知營壘所在。
HCH_012_144_000070	明日再戰，安擊敗燕蔣房寬、陳亨。
HCH_012_144_000071	燕王見事急，親冒矢石力戰。
HCH_012_144_000072	馬創矢竭，劍折不可擊。
HCH_012_144_000073	走登堤，佯舉鞭招後騎以疑敵。
HCH_012_144_000074	會高煦救至，乃得免。
HCH_012_144_000075	當是時，諸將中安戰最力，王幾為安槊所及。
HCH_012_144_000076	已而敗。
HCH_012_144_000077	語詳《成祖紀》。
HCH_012_144_000078	燕兵圍濟南。
HCH_012_144_000079	安營單家橋，謀出御河奪燕餉舟。
HCH_012_144_000080	又選善水卒五千人渡河，將攻德州。
HCH_012_144_000081	圍乃解。
HCH_012_144_000082	安與吳傑進屯定州。
HCH_012_144_000083	明年，燕敗盛庸於夾河，回軍與安戰單家橋。
HCH_012_144_000084	安奮擊大破之，擒其將薛祿。
HCH_012_144_000085	無何，逸去。
HCH_012_144_000086	再戰滹沱河，又破之。
