HCH_012_223_000000	盛應期朱衡潘季馴萬恭吳桂芳王宗沐劉東星徐貞明盛應期，字思徵，吳江人。
HCH_012_223_000001	弘治六年進士。
HCH_012_223_000002	授都水主事，出轄濟寧諸閘。
HCH_012_223_000003	太監李廣家人市私鹽至濟，畏應期，投鹽水中去。
HCH_012_223_000004	會南京進貢內官誣應期阻薦新船，廣從中構逮應期及主事範璋下詔獄。
HCH_012_223_000005	璋筦衛河，亦忤中貴者也。
HCH_012_223_000006	獄具，謫雲南驛丞。
HCH_012_223_000007	稍遷祿豐知縣。
HCH_012_223_000008	正德初，歷雲南僉事。
HCH_012_223_000009	武定知府鳳應死，其妻攝府事，子朝鳴為寇。
HCH_012_223_000010	應期單車入其境，母子惶怖，歸所侵。
HCH_012_223_000011	策鳳氏終亂，奏降其秩，設官制之。
HCH_012_223_000012	寢不行，後卒叛。
HCH_012_223_000013	與御史張璞、副使晁必登抑鎮守太監梁裕。
HCH_012_223_000014	裕劾三人，俱逮下詔獄，璞竟拷死。
HCH_012_223_000015	會乾清宮災，應期得復職，四遷至陜西右布政使。
HCH_012_223_000016	擢右副都御史，巡撫四川。
HCH_012_223_000017	討平天全六番招討使高文林。
HCH_012_223_000018	會泉江僰蠻普法惡作亂，富順奸民謝文禮、文義附之。
HCH_012_223_000019	法惡死，指揮何卿等先後討誅文禮、文義。
HCH_012_223_000020	應期賚銀幣，以憂歸。
HCH_012_223_000021	嘉靖二年，起故官，巡撫江西。
HCH_012_223_000022	宸濠亂後，瘡痍未復，奏免雜調緡錢數十萬，請留轉輸南京米四十七萬，銀二十萬，以食饑民。
HCH_012_223_000023	又令諸府積谷備荒至百餘萬。
HCH_012_223_000024	尋進兵部右侍郎，總督兩廣軍務。
HCH_012_223_000025	將行，籍上積谷數。
HCH_012_223_000026	帝以陳洪謨代，而獎賚應期。
HCH_012_223_000027	後洪謨積益多，亦被賚。
HCH_012_223_000028	應期至廣，偕撫寧侯朱麒督參將李璋等，討平思恩土目劉召，復賚銀幣。
