HCH_009_116_000000	徒單兀典，不知其所始，累官為武勝軍節度使，駐鄧州。
HCH_009_116_000001	尋遷中京留守，知金昌府事，駐洛陽。
HCH_009_116_000002	鄧及洛陽兀典皆城之，且招亡命千人，號「熊虎軍」，以剽掠南鄙為事。
HCH_009_116_000003	宋人亦時時報復，邊民為之搔動。
HCH_009_116_000004	兀典資性深刻，而以大自居，好設耳目，凡諸將官屬下及民家細事，令親昵日報之，務為不可欺。
HCH_009_116_000005	正大間，以兵部尚書權參知政事，行省事於徐州。
HCH_009_116_000006	自恃得君，論議之際，不少假貸。
HCH_009_116_000007	同列皆畏之。
HCH_009_116_000008	天興元年正月，朝廷聞大兵入饒風，移兀典行省閿鄉，以備潼關。
HCH_009_116_000009	徒單百家為關陝總帥，便宜行事。
HCH_009_116_000010	百家馳入陝，榜州民雲：「淮南透漏軍馬，慮其道由潼關，勢不能守，縣鎮遷入大城，糧斛輜重聚之陝州，近山者入山寨避兵。」
HCH_009_116_000011	會阿裏合傳旨召兀典入援，兀典遂與潼關總帥納合合閏、秦藍總帥都點檢完顏重喜、安平都尉苗秀、蕩寇都尉術甲某、振武都尉張翼及虎威、鷹揚、葭州劉趙二帥，軍十有一萬、騎五千，盡撒秦藍諸隘之備。
HCH_009_116_000012	從虢入陝。
HCH_009_116_000013	同、華、閿鄉一帶軍糧數十萬斛，備關船二百餘艘，皆順流東下。
HCH_009_116_000014	俄聞大兵近，糧皆不及載，船悉空下。
HCH_009_116_000015	複盡起州民，連靈寶、硤石倉粟，遊騎至，殺掠不勝計。
HCH_009_116_000016	又遣陝州觀察副使兼規措轉運副使抹撚速也以船八十往運潼關、閿鄉糧，行及靈寶北河夾灘。
HCH_009_116_000017	義軍張信、侯三集壯士三百余，保老幼，立水柵。
HCH_009_116_000018	北將忽魯罕只乘淺攻之不能克，遇速也船至即降，大兵得此船遂破侯、張，殺戮殆盡。
HCH_009_116_000019	是時陝州同知內族探春願從行省征進，兀典授以帥職，聽招在城民充軍。
HCH_009_116_000020	探春厚擬官賞。
HCH_009_116_000021	數日無一人，乃以兀典命招之，得壯士八百。
HCH_009_116_000022	宣差趙三三名偉，亦依探春招募，偉人所知識，不二日得軍八百餘，號「破敵軍」。
HCH_009_116_000023	兀典忌偉得眾，欲挾詐坑之。
HCH_009_116_000024	完顏素蘭時為同華安撫使，力諫乃止。
HCH_009_116_000025	尋以偉權興寶軍節度使，兼行元帥府事，領軍三百，屯金雞堡。
HCH_009_116_000026	大兵即知潼關焚棄，長驅至陝。
HCH_009_116_000027	賀都喜不待命出城迎戰，馬蹶幾為所獲，兀典易以一馬，遂下令不復令一人出，大兵亦去。
HCH_009_116_000028	自此潼關諸渡船筏俱盡，偉亦無船可渡矣。
HCH_009_116_000029	初，兀典發閿鄉，拜天，賞軍，人白金三兩，將校有差。
HCH_009_116_000030	州之庫藏，軍資器械，為之一空。
HCH_009_116_000031	期日進發，已而不行，日造銀器及兵幕牌印，陝州及鹽司牌亦奪取之。
HCH_009_116_000032	又欲卻州民財物以資軍，素蘭諫之而止。
HCH_009_116_000033	二月戊午，乃行。
HCH_009_116_000034	有李先生者諫曰：「方今大兵俱在河南，河北空虛，相公可先取衛州，出其不意。彼知我軍在北，必分兵北渡，京師即得少寬，相公入援亦易為矣。」
HCH_009_116_000035	兀典大怒，以為泄軍機，斬之於市，遂行。
HCH_009_116_000036	軍士各以老幼自隨。
HCH_009_116_000037	州中亦有關中、河中遷避商賈老幼，亦倚兵力從行，婦女皆嫁士卒，軍中亦有強娶奪者。
HCH_009_116_000038	是日，軍出兩東門及南門，不遵洛陽路，乃由州西南徑入大山冰雪中。
HCH_009_116_000039	葭州劉、趙兩帥即日叛去，大兵以數百騎遙躡其後。
HCH_009_116_000040	明日，張翼軍叛往硃陽，入鹿盧關，大兵追及降之。
HCH_009_116_000041	山路積雪，晝日凍釋，泥淖及脛，隨軍婦女棄擲幼稚，哀號盈路。
HCH_009_116_000042	軍至鐵嶺，大兵潛召洛陽大軍從西三縣過盧氏，所至燒官民廬舍積聚，慮為金軍所據，又反守鐵嶺，以斷歸路。
HCH_009_116_000043	金兵知必死，皆有鬥志，然已數日不食，行二百里許，困憊不支，頗亦散走。
HCH_009_116_000044	於是完顏重喜先降，大軍斬于馬前。
HCH_009_116_000045	鄭倜劫苗英降，英不從，殺之，攜其首以降，於是士卒大潰。
HCH_009_116_000046	兀典、合閏提數十騎走山間，追騎禽得，皆殺之。
HCH_009_116_000047	先是，兀典嘗為鄧州節度使，世襲謀克黃摑三合時為宣差都總領，與兀典親厚，故決計入鄧。
HCH_009_116_000048	是役也，安平、蕩寇、鷹揚、振威諸都尉，及西安、金雞等軍，脫走者百才一二。
HCH_009_116_000049	二月，素蘭竄歸，有報徒單百家言「行省至」，百家欲出迎，父老遮馬前哀訴雲：「行省複來，吾州碎矣，願無出迎。」
HCH_009_116_000050	百家曉之曰：「前日兀典，欲劫此州，為素蘭力勸而止，此行省非兀典，乃素蘭也。」
HCH_009_116_000051	父老乃聽百家出城。
HCH_009_116_000052	陝州自軍出。
HCH_009_116_000053	日有逃還者，百家皆撫納之，所得及萬人。
HCH_009_116_000054	百家又募收所棄甲仗。
HCH_009_116_000055	若獲二副，即以一與之，其一官出直買之，由是軍稍振。
HCH_009_116_000056	五月，總帥副點檢顏盞領軍複立商州總帥。
HCH_009_116_000057	華州人王某立虢州，權刺史。
HCH_009_116_000058	七月，制旨召百家入援，以權西安軍節度使、行元帥事阿不罕奴十剌為金安軍節度使、關陝總帥。
HCH_009_116_000059	九月，鞏昌知府元帥完顏忽斜虎入陝州，詔拜參知政事，行尚書省事。
HCH_009_116_000060	以河中總帥府經歷李獻能充左右司員外郎。
HCH_009_116_000061	獻能字欽叔，貞祐三年進士。
HCH_009_116_000062	複立山寨，安撫軍民。
HCH_009_116_000063	十月朔，制旨召忽斜虎赴南陽留山寺，以阿不罕奴十剌權參知政事，行省。
HCH_009_116_000064	時趙偉為河解元帥，屯金雞堡，軍務隸陝省，行省月給糧以贍其軍。
HCH_009_116_000065	明年五月，麥熟，省劄令偉計置兵食，權罷月給。
HCH_009_116_000066	十月，偉軍食又盡，屢白陝省，雲無糧可給，偉私謂其軍言：「我與李員外郎有隙，坐視我軍饑餓，不為存恤。」
HCH_009_116_000067	於是自往永甯勸喻，偉頗為小民所信，往往獻糧，或導其發藏。
HCH_009_116_000068	南縣把隘軍提控以偉橫恣言於行省，行省遣趙提控者權元帥，守永寧元村寨，偉還金雞。
HCH_009_116_000069	十一月冬至，大兵已攻破元村寨，偉攻解州不能下，於是密遣總領王茂軍士三十人入陝州。
HCH_009_116_000070	匿菜圃中凡三四日，乘夜，王茂殺北城邏卒，舉號召偉軍八百渡河，入城劫殺阿不罕奴十剌、李獻能、提控蒲鮮某、總領來道安，因誣奏：「奴十剌等欲反，臣誅之矣。」
HCH_009_116_000071	朝廷知其冤而莫敢詰，就授偉元帥左監軍，兼西安軍節度使，行總帥府事。
HCH_009_116_000072	食盡。
HCH_009_116_000073	括粟，粟又盡，以明年三月降大兵。
HCH_009_116_000074	或謂偉軍餉不繼，以劫掠自資，一日詣李獻能，獻能靳之，曰：「從宜破敵不易。」
HCH_009_116_000075	由是憾之。
HCH_009_116_000076	乃乘奴十剌宴飲不設備，選死士二十八人，夜由後河灘逾城而上，取餅爐碎石擲屋瓦門扇為箭鏃聲。
HCH_009_116_000077	州人疑叛軍多，不敢動，遂開門納軍。
HCH_009_116_000078	殺行省以下官屬二十一人，獻能最為所恨，故被害尤酷。
HCH_009_116_000079	偉之變，絳州錄事張升字進之，大同人，戶工部令史出身，曾為漁陽簿，遷絳州錄事，謂知識者曰：「我本小人，受國家官祿，今日國家遭不幸，我不能從反賊。」
HCH_009_116_000080	言訖，赴水死，岸上數百人皆嗟惜之。
HCH_009_116_000081	及徒單百家鄭西之敗，單騎間道數百里入京。
HCH_009_116_000082	為上言兀典等鐵嶺敗狀。
HCH_009_116_000083	於是籍重喜、合閏、兀典家貲，暴兀典為罪首，榜通衢雲。
HCH_009_116_000084	石盞女魯歡，本名十六。
HCH_009_116_000085	興定三年，以河南路統軍使為元帥右都監，行平涼元帥府事。
HCH_009_116_000086	先是，陝西行省胥鼎言：「平涼控制西垂，實為要地。都監女奚烈古里間材識凡庸，不閑軍務，且以入粟補官，遂得升用，握重兵，當方面，豈能服眾。防秋在邇，宜選才謀、有宿望、善將兵者代之。」
HCH_009_116_000087	故以命女魯歡。
HCH_009_116_000088	十一月，女魯歡上言：「鎮戎赤溝川，東西四十裏，地無險阻，當夏人往來之沖，比屢侵突，金兵常不得利。明年春，當城鎮戎，彼必出兵來撓。乞於二三月間征傍郡兵，聲言防護，且令鄜、鞏各屯兵境上示進伐之勢，以制其肘。臣領平涼之眾，由鎮戎而入，攻其心腹。彼自救之不暇，安能及我。如此則鎮戎可城，而彼亦不敢來犯。又所在官軍多河北、山西失業之人，其家屬仰給縣官，每患不足。鎮戎土壤肥沃，又且平衍，臣裨將所統幾八千人，每以遷徙不常為病。若授以荒田，使耕且戰，則可以禦備一方，縣官省費而食亦足矣。其餘邊郡亦宜一體措置。」
HCH_009_116_000089	上嘉納焉。
HCH_009_116_000090	遷昌武軍節度使。
HCH_009_116_000091	元光二年九月，又言：「商洛重地，西控秦陝，東接河南，軍務繁密，宜選才幹之士為防禦使、攝帥職以鎮之。又舊來諸隘守禦之官，並從帥府辟置，其所辟者，多其親昵，殖產營私，專事漁獵，及當代去，又複保留，此最害之甚者。宜令樞府選舉，以革其弊。又州之戍兵艱於饋運，亦合依上屯田，以免轉輸之費。」
HCH_009_116_000092	又言：「每年防秋，諸隘守者不過數十人，餘眾盡屯保安、石門、大荊、洛南以為應援，中間相距遠至百里，倉猝豈能徵集。宜近隘築營。徙見兵居之，以待緩急。又南邊所設巡檢十員，兵率千人，此乃平時以詰奸細者，已有大軍。宜悉罷去。」
HCH_009_116_000093	朝廷略施行之。
HCH_009_116_000094	正大九年二月，以行樞密院事守歸德。
HCH_009_116_000095	乙丑，大元將忒木泬率真定、信安、大名、東平、益都諸軍來攻。
HCH_009_116_000096	是日，無雲而雷，有以《神武秘略》占之者，曰「其城無害」，人心稍安。
HCH_009_116_000097	適慶山奴潰軍亦至，城中得之，頗有鬥志。
HCH_009_116_000098	己巳，提控張定夜出斫營，發數砲而還。
HCH_009_116_000099	定平日好談兵，女魯歡令自募一軍，使為提控，小試而勝，上下遂恃以為可用。
HCH_009_116_000100	初患砲少，欲以泥或磚為之，議者恐為敵所輕，不復用。
HCH_009_116_000101	父老有言北門之西一菜圃中時得古砲，雲是唐張巡所埋，掘之，得五千有奇，上有刻字或「大吉」字者。
HCH_009_116_000102	大兵晝夜攻城，駐營於南城外，其地勢稍高。
HCH_009_116_000103	相傳是安祿山將尹子奇於此攻巡、遠，得睢陽。
HCH_009_116_000104	時經歷冀禹錫及官屬王璧、李琦、傅瑜極力守禦，城得不拔。
HCH_009_116_000105	方大兵圍城，決鳳池大橋水以護城。
HCH_009_116_000106	都水官言，去歲河決敖游堌時，會以水準量之，其地與城中龍興塔平，果決此口，則無城矣。
HCH_009_116_000107	及大兵至，不得已遣招撫陳貴往決之，才出門，為遊騎所鈔，無一返者。
HCH_009_116_000108	三月壬午朔，攻城不能下，大軍中有獻決河之策者，主將從之。
HCH_009_116_000109	河既決，水從西北而下，至城西南，入故濉水道，城反以水為固。
HCH_009_116_000110	求獻策者欲殺之，而不知所在。
HCH_009_116_000111	四月，以女魯歡為總帥，佩金虎符。
HCH_009_116_000112	罷司農司，以其官蒲察世達為集慶軍節度使、行六部侍郎。
HCH_009_116_000113	溫特罕道僧歸德府同知，李無黨府判。
HCH_009_116_000114	五月，圍城稍緩，頗遷民出城就食。
HCH_009_116_000115	十二月，哀宗次黃陵岡，遣奉職術甲搭失不、奉職權奉禦粘合斜烈來歸德征糧。
HCH_009_116_000116	女魯歡遣侍郎世達，治中王元慶權郎中，儀封從宜完顏胡土權元帥，護送載糧千五百石。
HCH_009_116_000117	是月晦二更發船。
HCH_009_116_000118	二年正月，達蒲城東二十裏。
HCH_009_116_000119	六軍給糧盡，因留船不聽歸，且命張布為幄，上遂用此舟以濟。
HCH_009_116_000120	及上來歸德，隨駕軍往往出城就糧，時城中止有馬用一軍，近七百人。
HCH_009_116_000121	用山西人，與李辛同鄉裏，嘗為辛軍彈壓，在歸德權果毅都尉，車駕至，授以帥職。
HCH_009_116_000122	此軍外複有官奴忠孝軍四百五十人。
HCH_009_116_000123	河北潰軍至者皆縱遣之，故城中惟此兩軍。
HCH_009_116_000124	上時召用計事，而不及官奴，故官奴有異心。
HCH_009_116_000125	朝廷知兩人不協，恐生變。
HCH_009_116_000126	三月戊辰，制旨令宰相錫宴省中，和解之。
HCH_009_116_000127	是夜，用撤備，官奴以兵乘之為亂。
HCH_009_116_000128	明日，攻用軍，用敗走被殺，眾下城投水奪船而去者，斯須而盡。
HCH_009_116_000129	官奴在雙門，驅知府女魯歡至，言「汝自車駕到府，上供不給，好醬亦不與，汝罪何辭。」
HCH_009_116_000130	遂以一馬載之。
HCH_009_116_000131	令軍士擁至其家，檢其家雜醬凡二十甕，且出所有金具，然後殺之。
HCH_009_116_000132	即提兵入見，言「石盞女魯歡等反，臣殺之矣。」
HCH_009_116_000133	上不得已，就赦其罪，且暴女魯歡之惡。
HCH_009_116_000134	後其侄大安入蔡，上言求湔雪，上複其官，語在烏古論鎬傳。
HCH_009_116_000135	禾速嘉兀底代女魯歡為總帥，軍變，官奴無意害兀底，使二卒召之，道官奴有善意。
HCH_009_116_000136	兀底喜，各以金十星與之，同見官奴。
HCH_009_116_000137	二卒複恐受金事泄，亦殺之。
HCH_009_116_000138	初，河北潰軍至歸德，糧餉不給。
HCH_009_116_000139	朝庭命孛術魯阿海行總帥府事，以親軍武衛皆隸之。
HCH_009_116_000140	往宿州就食，軍士有不願者，誶語道中，朝廷聞之，使問其故。
HCH_009_116_000141	或言願入京或陳州，阿海請從其願，以券給之，軍心稍定。
HCH_009_116_000142	既而令求誶語者，阿海得四人，斬之國子監前，由是諸軍洶洶。
HCH_009_116_000143	二月庚子夜，劫府民武邦傑及蒲察咬住等凡九家，一軍遂散。
HCH_009_116_000144	數日，遂有官奴之變。
HCH_009_116_000145	蒲察官奴，少嘗為北兵所虜，往來河朔。
HCH_009_116_000146	後以奸事系燕城獄，劫走夏津，殺回紇使者得鞍馬資貨，即自拔歸。
HCH_009_116_000147	朝廷以其種人，特恩收充忠孝軍萬戶。
HCH_009_116_000148	此軍月給甚憂，官奴日與群不逞博，為有司所劾。
HCH_009_116_000149	事聞，以其新自河朔來，未知法禁，詔勿問。
HCH_009_116_000150	移剌蒲阿攻平陽，官奴請行，論功第一，遷本軍提控，佩金符。
HCH_009_116_000151	三峰山之敗，走襄陽，說宋制使以取鄧州自效，制使信之，至與同燕飲。
HCH_009_116_000152	已而知汴城罷攻，複謀北歸。
HCH_009_116_000153	遣移剌留哥入鄧，說鄧帥粘合，稱欲劫南軍為北歸計。
HCH_009_116_000154	留哥以情告粘合，官奴繼以騎卒十餘入城議事，粘合欲就甕城中擒之。
HCH_009_116_000155	官奴知事泄，即馳還，見制得騎兵五百，掠鄧之邊面小城，獲牛羊數百，宋人不疑。
HCH_009_116_000156	官奴掩宋軍得馬三百，至鄧州城下，移書粘合辨理屈直，留馬于鄧而去。
HCH_009_116_000157	乃縛忠孝軍提控姬旺，詐為唐州太守，械送北行，隨營帳取供給，因得入汴。
HCH_009_116_000158	有言其出入南北軍，行數千里而不懾，其智略有可取者，宰相以為然，乃使權副都尉。
HCH_009_116_000159	未幾，提軍數百馳入北軍獵騎中，生挾一回紇而還。
HCH_009_116_000160	遂巡黃陵、八穀等處，劫牛羊糧資甚眾，尋轉正都尉。
HCH_009_116_000161	又以軍至黃陵，幾獲鎮州大將，於是中外皆以為可用，遂拜為元帥，統馬軍。
HCH_009_116_000162	天興元年十二月，從哀宗北渡。
HCH_009_116_000163	上次黃陵岡，平章白撒率諸將戰，官奴之功居多。
HCH_009_116_000164	及渡河朔，惟官奴一軍號令明肅，秋毫無犯。
HCH_009_116_000165	明年正月，上至歸德。
HCH_009_116_000166	知府石盞女魯歡以軍眾食寡，懼不能給，請於上，令河北潰軍至者就糧于徐、宿、陳三州，親衛軍亦遣出城就食，上不得已從之。
HCH_009_116_000167	乃召諭官奴曰：「女魯歡盡散衛兵，卿當小心。」
HCH_009_116_000168	是時，惟官奴忠孝軍四百五十人、馬用軍七百人留府中。
HCH_009_116_000169	用本果毅都尉，上至歸德始升為元帥，又嘗召之謀事，而不及官奴，故官奴始有圖用之志。
HCH_009_116_000170	是時，大元將忒木泬攻歸德。
HCH_009_116_000171	官奴既總兵柄，私與國用安謀，欲邀上幸海州。
HCH_009_116_000172	及近侍局直長阿勒根兀惹使用安回，附奏帖，謂海州可就山東豪傑以圖恢復，且已具舟楫，可通遼東。
HCH_009_116_000173	上覽奏不從。
HCH_009_116_000174	又嘗請上北渡，再圖恢復，女魯歡沮之，自是有異心矣。
HCH_009_116_000175	且一軍倚外兵肆為剽掠，官奴不之禁。
HCH_009_116_000176	於是，左丞李蹊、左右司郎中張天綱、近侍局副使李大節俱為上言官奴有反狀。
HCH_009_116_000177	上竊憂之，以馬軍總領紇石烈阿裏合、內族習顯陰察其動靜，與朝臣言及，則曰：「我從官奴微賤中起為大帥，何負而反耶？卿等勿過慮。」
HCH_009_116_000178	阿裏合、習顯知官奴漸不能制，反泄上意。
HCH_009_116_000179	上亦懼官奴、馬用相圖，因以為亂，命宰執置酒和解之。
HCH_009_116_000180	用撤備。
HCH_009_116_000181	俄官奴乘隙率其軍攻用，用軍敗走。
HCH_009_116_000182	官奴亂殺軍民，以卒五十人守行宮。
HCH_009_116_000183	劫朝官皆聚于都水毛花輦宅，以兵監焉。
HCH_009_116_000184	驅參知政事石盞女魯歡至其家，悉出所有金具，然後殺之。
HCH_009_116_000185	乃遣都尉馬實被甲持刃劫直長把奴申於上前，上初握劍，見實，擲劍於地曰：「為我言于元帥，我左右止有此人，且留侍我。」
HCH_009_116_000186	實不敢迫，逡巡而退。
HCH_009_116_000187	凡殺朝官左丞李蹊已下三百餘人，軍將、禁衛、民庶死者三千。
HCH_009_116_000188	郎中完顏胡魯剌、都事冀禹錫赴水死。
HCH_009_116_000189	禹錫字京甫，龍山人。
HCH_009_116_000190	至甯元年進士，仕曆州郡有能聲。
HCH_009_116_000191	歸德受兵，禹錫為行院都事，經畫寧禦一府倚重。
HCH_009_116_000192	聞變，或勸以微服免，不從，見害。
HCH_009_116_000193	是日蒲暮，官奴提兵入見，言：「石盞女魯歡等反，臣殺之矣。」
HCH_009_116_000194	上不得已，赦其罪，以為樞密副使、權參知政事。
HCH_009_116_000195	初，官奴之母，自河北軍潰，北兵得之。
HCH_009_116_000196	至是，上乃命官奴因其母以計請和，故官奴密與忒木泬議和事，令阿裏合往言，欲劫上以降。
HCH_009_116_000197	忒木泬信之，還其母，因定和計。
HCH_009_116_000198	官奴乃日往來講議，或乘舟中流會飲。
HCH_009_116_000199	其遣來使者二十余輩，皆女直、契丹人，上密令官奴以金銀牌與之，勿令還營。
HCH_009_116_000200	因知王家寺大將所在，故官奴畫斫營之策。
