HCH_010_043_000000	月度不足，是生朔虛；天行有餘，是為氣盈。
HCH_010_043_000001	盈虛相懸，歲月乃牉，積牉而差，寒暑互易，百谷不成，庶政不明。
HCH_010_043_000002	聖人驗以斗柄，準以歲星，爰立閏法，信治百官。
HCH_010_043_000003	是故閏正而月正，月正而歲正。
HCH_010_043_000004	歲月既正，頒令考績，無有不時。
HCH_010_043_000005	國史正歲年以敘事，莫重於此。
HCH_010_043_000006	遼始征歷梁、唐。
HCH_010_043_000007	入晉之後，奄有帝制，《乙未》、《大明》，曆法再變。
HCH_010_043_000008	穆宗應歷六年，周用顯德《欽天曆》；十年，宋用建隆《應天曆》。
HCH_010_043_000009	景宗乾亨四年，宋用《乾元曆》。
HCH_010_043_000010	聖宗統和十九年，宋用《儀天曆》；太平元年，宋用《崇天曆》。
HCH_010_043_000011	道宗清寧十年，宋用《明天曆》；大康元年，宋用《奉元曆》；大安七年，宋用《觀天曆》。
HCH_010_043_000012	天祚皇帝乾統六年，宋用《紀元曆》。
HCH_010_043_000013	五代歷三變，宋凡八變，遼終始再變。
HCH_010_043_000014	曆法不齊，故定朔置閏，時有不同，覽者惑焉。
HCH_010_043_000015	作《閏考》。
HCH_010_043_000016	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
