HCH_013_007_000000	吳元年，元至正二十七年也。
HCH_013_007_000001	十月甲子，命湖廣行省平章楊璟、左丞周德興、張彬率武昌、荊州、潭、岳等衛軍，由湖廣取廣西。
HCH_013_007_000002	諭璟等曰：「南方之人皆入版圖，惟淮北、山東尚未寧一，兩廣、八閩尚未歸附。已命丞相徐達、平章常遇春等北定中原，平章胡廷美分道南征，以取八閩，俟八閩既定，就以其師航海取廣東。故命爾等率荊、湘之眾進取廣西，兩軍合勢，何征不克。爾其務靖亂止暴，使遠人畏服，毋替予命！」
HCH_013_007_000003	璟等頓首出。
HCH_013_007_000004	太祖洪武元年正月乙亥，楊璟等進兵攻永州，元全州平章阿思蘭遣兵來援，逆擊，敗之，進逼永城。
HCH_013_007_000005	守將鄧祖勝出兵南門拒戰，又敗之，獲其將王鑑。
HCH_013_007_000006	祖勝歛兵入城固守。
HCH_013_007_000007	元兵復自廣西來援，駐東鄉，倚湘水列七營，軍容甚盛。
HCH_013_007_000008	璟遣指揮袁子明擊敗之，獲其萬戶丁武等千餘人。
HCH_013_007_000009	二月癸卯，命平章廖永忠為征南將軍，參政朱亮祖為副將軍，由海道取廣東。
HCH_013_007_000010	上諭永忠等曰：「王者之師，順天應人，以除暴亂。朕昔平定武昌，荊、湘諸郡望風款附。常遇春克贛州，南安、嶺南數郡亦相繼來歸。此無他，師出以律，人心悅服故也。今兩廣之地遠在南方，彼此割據，民困久矣。彼聞八閩不守，湖、湘已平，中心震懾。若先遣人宣布威德，以招徠之，必有歸款迎降者。如其拒命，然後舉兵，扼其險要，絕其聲援。聞廣東要地，惟在廣州。廣州既下，則循海諸郡可傳檄而定。海南海北，以次招徠，留兵鎮守。仍與平章楊璟合兵取廣西。肅清南服，在此一舉。」
HCH_013_007_000011	癸丑，楊璟遣千戶王廷將兵取寶慶。
HCH_013_007_000012	先是，既克寶慶，復為陳友諒將周文貴所陷。
HCH_013_007_000013	至是，廷進兵茱萸灘，賊眾千餘，據險拒戰，廷擊敗之，文貴遁，遂復寶慶。
HCH_013_007_000014	壬戌，敕贛州衛指揮使陸仲亨等帥師會廖永忠征廣東。
HCH_013_007_000015	上諭仲亨等曰：「近命平章楊璟等由湖南取廣西，廖永忠等由福建取廣東。今特命爾等率師由韶州直擣德慶。三方進兵，為犄角之勢，舉無不克。廣東既下，合兵取廣西。先聲既振，勢如破竹，但當撫輯生民，毋縱殺掠。」
HCH_013_007_000016	三月，楊璟遣左丞周德興、參政張彬率兵取全州。
HCH_013_007_000017	壬申，我師克全州，元平章阿思蘭遁去。
HCH_013_007_000018	道州莫友遜、寧遠州李文卿、藍山縣黎元帥相繼降。
HCH_013_007_000019	廖永忠等率舟師自福州航海取廣東，元左丞何真降。
HCH_013_007_000020	先是，嶺海騷動，真固保鄉里。
HCH_013_007_000021	邑人王成、陳仲玉搆亂，真請於行省，舉義兵除之，擒仲玉以歸。
HCH_013_007_000022	成築砦自固，圍之久不下。
HCH_013_007_000023	真募人能縛成者，予鈔十千。
HCH_013_007_000024	於是成僕縛成以出。
HCH_013_007_000025	真笑謂曰：「公奈何養虎自貽患！」
HCH_013_007_000026	成慚。
HCH_013_007_000027	僕求賞，真如數予之。
HCH_013_007_000028	使人具湯鑊車上，成懼，以為將烹己也。
HCH_013_007_000029	真乃縛僕於上，促烹之。
HCH_013_007_000030	使數人鳴鉦，督僕妻炊火。
HCH_013_007_000031	僕一號，則羣應之，曰：「四境有如僕縛主者，視此！」
HCH_013_007_000032	於是人具服，以為光武待蒼頭子密，不能及也，競歸之。
HCH_013_007_000033	遂併有循、惠二州，授惠州路通判。
HCH_013_007_000034	尋以真為參政，遷右丞，嶺表民賴以安。
HCH_013_007_000035	或陳符瑞，勸為尉佗計者，輒斥絕之。
HCH_013_007_000036	初，廖永忠駐福州，遣人以書諭元江西分省左丞何真，略曰：「乃者元君失馭，天下土崩，豪傑之士，乘時而起。分剖州郡，竊據疆土。或假元號令，或自擅兵威，暴徵橫歛，蠶食一方。生民塗炭，可謂極矣。今天子受天明命，肇造區夏，江、漢既已底定，閩、越又皆帖服，中原之地，相繼削平，惟兩廣僻在遐方，未霑聖化。予受命南征，順者撫綏，逆者誅殛。恐足下未悟，輒先走一介之使相告，足下其留意焉。」
HCH_013_007_000037	至是，永忠等至潮州，真遣其都事劉克佐上印章，籍所部郡縣戶口、甲兵、錢穀，奉表歸附。
HCH_013_007_000038	上嘉其保境息民，視漢、唐竇融、李勣等，特召乘傳來朝。
HCH_013_007_000039	丙戌，平章楊璟遣兵攻武岡州，元守將曾權舉城降。
HCH_013_007_000040	四月朔辛丑，廖永忠等師至東莞，何真率官屬迎見。
HCH_013_007_000041	進次虎頭關，元將盧左丞、張元帥各率所部來降，遂入廣州。
HCH_013_007_000042	陸仲亨率兵下英德、清遠、連江、連州、肇慶等郡縣。
HCH_013_007_000043	辛丑，進克德慶路，元守將張鵬程棄城遁。
HCH_013_007_000044	按何真，東莞人，常為淡水場管勾。
HCH_013_007_000045	元末，嶺南盜蜂起，剽掠真鄉，真結豪民保障。
HCH_013_007_000046	及亂兵據惠州，真率眾復之，以功授惠州路通判，陞宣慰司都元帥。
HCH_013_007_000047	時南海寇邵宗愚陷廣州，真又擊走之。
HCH_013_007_000048	元立江西分省於廣東，以真為參政，又陞右丞，遂據有廣東諸州郡。
HCH_013_007_000049	至是始降。
HCH_013_007_000050	乙卯，廖永忠擒廣州偽參政邵宗愚等，誅之。
HCH_013_007_000051	時宗愚據三山寨，遣人納降，而遷延不至。
HCH_013_007_000052	永忠知其詐，下令往攻。
HCH_013_007_000053	夜二鼓，發兵抵其寨，詰旦破之，獲宗愚，斬於市。
HCH_013_007_000054	分捕新會黃彬、河源曹文昌、汲州廖仁、南海麥康祖等，皆誅之。
HCH_013_007_000055	何真入朝，賜宴，并白金千兩，文綺紗羅綾緞各百疋，將校分賜有差。
HCH_013_007_000056	諭之曰：「天下紛紛，所謂豪傑有三：易亂為治者，上也；保民達變，識所歸者，次也；負固偷安，毒流生民，身死不悔，斯不足論矣。頃者，師臨閩、越，卿即輸誠來歸，不煩一旅之力，民庶安堵，可謂識時達變。」
HCH_013_007_000057	授真江西行中書省參知政事。
HCH_013_007_000058	楊璟圍永州，久不下，命指揮胡海洋等築壘困之。
HCH_013_007_000059	復造浮橋於西江上，練習軍士，示以必克。
HCH_013_007_000060	至是，食盡力窮，守將鄧祖勝仰藥死，參政張子賢等猶率眾拒守。
HCH_013_007_000061	百戶夏昇縋城詣璟降，因言祖勝死狀。
HCH_013_007_000062	夜三鼓，璟督兵四面攻之，胡海洋等踰城入，子賢復率眾巷戰。
HCH_013_007_000063	天明，眾潰，子賢與元帥鄧思誠等俱就執，獲其全城士馬，璟調衡州衛指揮同知丁玉守之。
HCH_013_007_000064	於是來陽等州皆遣人降。
