HCH_010_083_000001	耶律休哥，字遜寧。
HCH_010_083_000002	祖釋魯，隋國王。
HCH_010_083_000003	父綰思，南院夷離堇。
HCH_010_083_000004	休哥少有公輔器。
HCH_010_083_000005	初烏古、室韋二部叛，休哥從北府宰相蕭幹討之。
HCH_010_083_000006	應歷末，為惕隱。
HCH_010_083_000007	乾亨元年，宋侵燕，北院大王奚底、統軍使蕭討古等敗績，南京被圍。
HCH_010_083_000008	帝命休哥代奚底，將五院軍往救。
HCH_010_083_000009	遇大敵於高梁河，與耶律斜軫分左右翼，擊敗之。
HCH_010_083_000010	追殺三十餘里，斬首萬餘級，休哥被三創。
HCH_010_083_000011	明旦，宋主遁去，休哥以創不能騎，輕車追至涿州，不及而還。
HCH_010_083_000012	是年冬，上命韓匡嗣、耶律沙伐宋，以報圍城之役。
HCH_010_083_000013	休哥率本部兵從匡嗣等戰於滿城。
HCH_010_083_000014	翌日將復戰，宋人請降，匡嗣信之。
HCH_010_083_000015	休哥曰：「彼眾整而銳，必不肯屈，乃誘我耳。宜嚴兵以待。」
HCH_010_083_000016	匡嗣不聽。
HCH_010_083_000017	休哥引兵憑高而視。
HCH_010_083_000018	須臾南兵大至，鼓噪疾馳。
HCH_010_083_000019	匡嗣倉卒不知所為，士卒棄旗鼓而走，遂敗績。
HCH_010_083_000020	休哥整兵進擊，敵乃卻。
HCH_010_083_000021	詔總南面戍兵，為北院大王。
HCH_010_083_000022	明年，車駕親征，圍瓦橋關。
HCH_010_083_000023	宋兵來救，守將張師突圍出。
HCH_010_083_000024	帝親督戰，休哥斬師，餘眾退走入城。
HCH_010_083_000025	宋陣於水南。
HCH_010_083_000026	將戰，帝以休哥馬介獨黃，慮為敵所識，乃賜玄甲、白馬易之。
HCH_010_083_000027	休哥率精騎渡水，擊敗之，追至莫州。
HCH_010_083_000028	橫屍滿道，義矢俱罄，生獲數將以獻。
HCH_010_083_000029	帝悅，賜御馬、金盂，勞之曰：「爾勇過於名，若人人如卿，何憂不克？」
HCH_010_083_000030	師還，拜於越。
HCH_010_083_000031	聖宗即位，太后稱制，令休哥總南面軍務，以便宜從事。
HCH_010_083_000032	休哥均戍兵，立更休法，勸農桑，修武備，邊境大治。
HCH_010_083_000033	統和四年，宋復來侵，其將範密、楊繼業出雲州；曹彬、米信出雄、易，取歧溝、涿州，陷固安，置屯。
HCH_010_083_000034	時北南院、奚部兵未至，休哥力寡，不敢出戰。
HCH_010_083_000035	夜以輕騎出兩軍間，殺其單弱以脅餘眾；晝則以精銳張其勢，使彼勞於防禦，以疲其力。
HCH_010_083_000036	又設伏林莽，絕其糧道。
HCH_010_083_000037	曹彬等以糧運不繼，退保白溝。
HCH_010_083_000038	月餘，復至。
HCH_010_083_000039	休哥以輕兵薄之，伺彼蓐食，擊其離伍單出者，且戰且卻。
HCH_010_083_000040	由是南軍自救不暇，結方陣，塹地兩邊而行。
HCH_010_083_000041	軍渴乏井，漉淖而飲，凡四日始達於涿。
HCH_010_083_000042	聞太后軍至，彬等冒雨而遁。
HCH_010_083_000043	太后益以銳卒，追及之。
HCH_010_083_000044	彼力窮，環糧車自衛，休哥圍之。
HCH_010_083_000045	至夜，彬、信以數騎亡去，餘眾悉潰。
HCH_010_083_000046	追至易州東，聞宋師尚有數萬，瀕沙河而爨，促兵往擊之。
