HCH_012_241_000000	周嘉謨張問達汪應蛟王紀孫瑋鐘羽正陳道亨周嘉謨，字明卿，漢川人。
HCH_012_241_000001	隆慶五年進士。
HCH_012_241_000002	除戶部主事，歷韶州知府。
HCH_012_241_000003	萬歷十年遷四川副使，分巡瀘州。
HCH_012_241_000004	窮治大猾楊騰霄，置之死。
HCH_012_241_000005	建武所兵燔總兵官沈思學廨，單車諭定之。
HCH_012_241_000006	尋撫白草番。
HCH_012_241_000007	督兵邛州、灌縣，皆有方略。
HCH_012_241_000008	居五年，進按察使，移疾歸。
HCH_012_241_000009	久之，起故官。
HCH_012_241_000010	榷稅中官丘乘雲播虐，逮系相屬。
HCH_012_241_000011	嘉謨檄所司拒絕，而搒殺奸民助虐者，乘雲為戢。
HCH_012_241_000012	就遷左布政使。
HCH_012_241_000013	擢右副都御史，巡撫雲南。
HCH_012_241_000014	隴川宣撫多安民叛，入緬，據蠻灣。
HCH_012_241_000015	嘉謨討擒之，立其弟安靖而還。
HCH_012_241_000016	進兵部右侍郎，巡撫如故。
HCH_012_241_000017	黔國公沐昌祚侵民田八千餘頃，嘉謨劾治之，復劾其孫啟元罪狀。
HCH_012_241_000018	久之，改督兩廣軍務兼巡撫廣東。
HCH_012_241_000019	滿考，加右都御史。
HCH_012_241_000020	廣西土酋引交址兵內犯，官軍拒退之，嘉謨為增兵置戍。
HCH_012_241_000021	南海、三水、高要、四會、高明諸邑大水，壞圩岸，留贖鍰築之。
HCH_012_241_000022	遷南京戶部尚書，尋召拜工部尚書。
HCH_012_241_000023	孝定後喪，內廷宣索不貲。
HCH_012_241_000024	嘉謨言喪禮有中制，不當信左右言，妄耗國帑，不納。
HCH_012_241_000025	俄改吏部尚書。
HCH_012_241_000026	四十八年七月，神宗崩。
HCH_012_241_000027	八月丙午朔，光宗即位。
HCH_012_241_000028	鄭貴妃據乾清宮，且邀封皇太后。
HCH_012_241_000029	嘉謨從言官楊漣、左光鬥等言，以大義責貴妃從子養性，示以利害。
HCH_012_241_000030	貴妃乃移慈寧宮，封後事亦寢。
HCH_012_241_000031	外廷皆言貴妃進侍姬八人，致帝得疾。
HCH_012_241_000032	二十六日，嘉謨因召見，以寡欲進規，帝註視久之，令皇長子諭外廷：「傳聞不可信。」
HCH_012_241_000033	諸臣乃退。
HCH_012_241_000034	二十九日，帝疾大漸，嘉謨偕大學士方從哲、劉一燝、韓爌等受顧命。
HCH_012_241_000035	其夕，帝崩。
HCH_012_241_000036	質明，九月乙亥朔，光宗遺詔皇長子嗣位，而李選侍專制宮中，勢頗張，廷臣慮不測。
HCH_012_241_000037	既入臨，請見皇長子，呼萬歲，奉至文華殿受朝，送居慈慶宮。
HCH_012_241_000038	嘉謨奏言：「殿下之身，社稷是托，出入不宜輕脫。大小殮，朝暮臨，須臣等至乃發。」
HCH_012_241_000039	皇長子頷之。
HCH_012_241_000040	諸大臣定議：皇長子以九月六日即位。
HCH_012_241_000041	選侍居乾清自如，且欲挾皇長子同居。
HCH_012_241_000042	嘉謨亟草疏率廷臣請移宮，光鬥、漣繼之。
HCH_012_241_000043	五日，選侍始移噦鸞宮。
HCH_012_241_000044	時大故頻仍，國勢杌隉，首輔從哲首鼠兩端，一燝、爌又新秉政，嘉謨正色立朝，力持大議，中外倚以為重。
HCH_012_241_000045	神宗末，齊、楚、浙三黨為政，黜陟之權，吏部不能主。
HCH_012_241_000046	及嘉謨秉銓，惟才是任。
HCH_012_241_000047	光、熹相繼踐祚，嘉謨大起廢籍，耆碩滿朝。
HCH_012_241_000048	向稱三黨之魁及朋奸亂政者，亦漸自引去，中朝為清。
HCH_012_241_000049	已，極陳吏治敝壞，請責成撫、按、監司。
HCH_012_241_000050	上官註考，率用四六儷語，多失實，嘉謨請以六事定官評：一曰守，二曰才，三曰心，四曰政，五曰年，六曰貌。
HCH_012_241_000051	各註其實，毋飾虛詞。
HCH_012_241_000052	帝稱善，行之。
HCH_012_241_000053	天啟元年，御史賈繼春得罪，其同官張慎言、高弘圖疏救，帝欲並罪之。
HCH_012_241_000054	嘉謨等力為解，乃奪慎言、弘圖俸而止。
HCH_012_241_000055	朱欽相、倪思輝被謫，嘉謨亦申救。
HCH_012_241_000056	給事中霍維華希魏忠賢指劾王安，置之死。
HCH_012_241_000057	嘉謨惡之，出維華於外。
HCH_012_241_000058	忠賢怒，嗾給事中孫傑劾嘉謨受劉一燝屬為安報仇，且以用袁應泰、佟卜年等為嘉謨罪。
HCH_012_241_000059	嘉謨求退，忠賢矯旨許之。
HCH_012_241_000060	大學士葉向高等請留嘉謨竣大計事，不聽。
HCH_012_241_000061	明年，廣寧陷，嘉謨憂憤，馳疏劾兵部尚書張鶴鳴主戰誤國罪。
HCH_012_241_000062	五年秋，忠賢黨周維持復劾嘉謨曲庇王安，遂削籍。
HCH_012_241_000063	崇禎元年，薦起南京吏部尚書，加太子太保。
HCH_012_241_000064	明年，卒官，年八十四。
HCH_012_241_000065	贈少保。
HCH_012_241_000066	張問達，字德允，涇陽人。
HCH_012_241_000067	萬歷十一年進士。
HCH_012_241_000068	歷知高平、濰二縣，有惠政。
HCH_012_241_000069	征授刑科給事中。
HCH_012_241_000070	寧夏用兵，請盡蠲全陜逋賦，從之。
HCH_012_241_000071	父喪除，起故官，歷工科左給事中。
HCH_012_241_000072	帝方營建兩宮，中官利乾沒，復興他役，問達力請停止，不納。
HCH_012_241_000073	俄陳礦稅之害，言：「閹尹一朝銜命，輒敢糾彈郡守，甚且糾撫按重臣。而孫朝所攜程守訓、陳保輩，至箠殺命吏，毀室廬，掘墳墓。不一按問，若萬方怨恫何！」
HCH_012_241_000074	典試山東，疏陳道中饑饉流離狀，請亟罷天下礦稅，皆不報。
HCH_012_241_000075	已，巡視廠庫。
HCH_012_241_000076	故事，令商人辦內府器物，僉名以進，謂之僉商。
HCH_012_241_000077	而諸高貲者率賄近幸求免，帝輒許之。
HCH_012_241_000078	問達兩疏爭執，又極論守訓罪，並寢不行。
HCH_012_241_000079	進禮科都給事中。
HCH_012_241_000080	劾晉江李贄邪說惑眾，逮死獄中。
HCH_012_241_000081	贄事具《耿定向傳》。
HCH_012_241_000082	三十年十月，星變，復請盡罷礦稅。
HCH_012_241_000083	時比年日食皆在四月，問達以純陽之月其變尤大，先後疏請修省，語極危切，帝終不納。
HCH_012_241_000084	尋遷太常少卿，以右僉都御史巡撫湖廣。
HCH_012_241_000085	所部水災，數請蠲貸。
HCH_012_241_000086	帝方營三殿，采木楚中，計費四百二十萬有奇，問達多方拮據，民免重困。
HCH_012_241_000087	久之，召拜刑部右侍郎，署部事兼署都察院事。
HCH_012_241_000088	四十三年五月，讞問張差梃擊事。
HCH_012_241_000089	問達從員外郎陸夢龍言，令十三司會訊，詞連鄭貴妃宮監龐保、劉成。
HCH_012_241_000090	中外籍籍，疑貴妃弟國泰為之。
HCH_012_241_000091	問達等奏上差獄。
HCH_012_241_000092	帝見保、成名，留疏不下。
HCH_012_241_000093	尋召方從哲、吳道南及問達等於慈寧宮，命並磔二人。
HCH_012_241_000094	甫還宮，帝意復變，乃先戮差，令九卿三法司會訊保、成於文華門。
HCH_012_241_000095	保、成供原姓名曰鄭進、劉登雲，而不承罪。
HCH_012_241_000096	方鞫時，東宮傳諭曰：「張差情實風癲，誤入宮門，擊傷內侍，罪不赦。後招保、成系內官，欲謀害本宮。彼何益，當以仇誣，從輕擬罪。」
HCH_012_241_000097	問達等以鞫審未盡，上疏曰：「奸人闖宮，事關宗社。今差已死，二囚易抵飾。文華門尊嚴之地，臣等不敢刑訊，何由得情？二囚偏詞，何足為據？差雖死，所供詞故在，其同謀馬三道等亦皆有詞在案，孰得而滅之？況慈寧召對，面諭並決。煌煌天語，通國共聞。若不付之外庭，會官嚴鞫，安肯輸情？既不輸情，安從正法？祖宗二百年來，未有罪囚不付法司，輒令擬罪者。且二人系內臣。法行自近，陛下尤當嚴其銜轡，而置之重辟。奈何任彼展辨，不與天下共棄之也。」
HCH_012_241_000098	帝以二囚涉鄭氏，付外庭，議益滋，乃潛斃之於內，言皆以創重身死。
HCH_012_241_000099	而馬三道等五人，命予輕比坐流配。
HCH_012_241_000100	其事遂止。
HCH_012_241_000101	是年解都察院事。
HCH_012_241_000102	久之，遷戶部尚書，督倉場。
HCH_012_241_000103	尋兼署刑部，拜左都御史。
HCH_012_241_000104	光宗疾大漸，同受顧命。
HCH_012_241_000105	天啟元年冬，代周嘉謨為吏部尚書。
HCH_012_241_000106	連掌內外大計，悉葉公論。
HCH_012_241_000107	當是時，萬歷中建言詿誤獲譴諸臣棄林下久，死者已過半。
HCH_012_241_000108	問達等定議：以廷杖、繫獄、遣戍者為一等，贈官蔭子；貶竄、削籍者為一等，但贈官。
HCH_012_241_000109	獲恤者七十五人。
