HCH_010_044_000000	古者太史掌正歲年以敘事，國史以事系日，以日、月、時系年。
HCH_010_044_000001	時月不正，則敘事不一。
HCH_010_044_000002	故二史合為一官，頒歷授時，必大一統。
HCH_010_044_000003	遼、漢、周、宋，俱行夏時，各自為歷。
HCH_010_044_000004	國史閏朔，頗有異同。
HCH_010_044_000005	遼初用《乙未元曆》，本何承天《元嘉曆》法，後用《大明曆》，本祖沖之《甲子元曆》法。
HCH_010_044_000006	承天日食晦朏，一章必七閏；沖之日食必朔，或四年一閏。
HCH_010_044_000007	用《乙未曆》，漢、周多同；用《大明曆》，則間與宋異。
HCH_010_044_000008	國史敘事，甲子不殊，閏朔多異，以此故也。
HCH_010_044_000009	耶律儼《紀》以《大明》法追正《乙未》月朔，又與陳大任《紀》時或抵牾。
HCH_010_044_000010	稽古君子，往往惑之。
HCH_010_044_000011	用《五代職方考》誌契丹州軍例，作《朔考》。
HCH_010_044_000012	法殊曰「異」，傳訛曰「誤」；遼史不書國，儼、大任偏見並見各名；他史以國冠朔。
HCH_010_044_000013	並見註於後。
HCH_010_044_000014	宋元豐元年十二月，詔司天監考遼及高麗、日本國歷與《奉元曆》同異。
HCH_010_044_000015	遼己未歲氣朔與《宣明曆》合，日本戊午歲與遼歷相近，高麗戊午年朔與《奉元曆》合，氣有不同。
HCH_010_044_000016	戊午，遼大康四年，己未，五年也。
HCH_010_044_000017	當遼、宋之世，二國司天固相參考矣。
HCH_010_044_000018	高麗所進《大遼事跡》載諸王冊文，頗見月朔，因附入。
HCH_010_044_000019	孟子有言：「天之高也，星辰之遠也，茍求其故，千歲之日至可坐而致。」
HCH_010_044_000020	甚哉，聖人之用心，可謂廣大精微，至矣盡矣！
HCH_010_044_000021	日有晷景，月有明魄，鬥有建除，星有昏旦。
HCH_010_044_000022	觀天之變而制器以候之，八尺之表，六尺之筒，百刻之漏，日月星辰示諸掌上。
HCH_010_044_000023	運行既察，度分即審，於是像天圜以顯運行，置地櫃以驗出入，渾象是作。
HCH_010_044_000024	天道之常，尋尺之中可以俯窺，陶唐之象是矣。
HCH_010_044_000025	設三儀以明度分，管一衡以正辰極，渾儀是作。
HCH_010_044_000026	天文之變，六合之表可以仰觀，有虞之璣是矣。
HCH_010_044_000027	體莫固於金，用莫利於水。
HCH_010_044_000028	範金走水，不出戶而知天道，此聖人之所以為聖也。
HCH_010_044_000029	歷代儀象表漏，各具於誌。
HCH_010_044_000030	太宗大同元年，得晉歷象、刻漏、渾象。
HCH_010_044_000031	後唐清泰二年已稱損折不可施用，其至中京者概可知矣。
HCH_010_044_000032	古之煉銅，黑黃白青之氣盡，然後用之，故可施久遠。
HCH_010_044_000033	唐沙門一行鑄渾天儀，時稱精妙，未幾銅鐵漸澀，不能自轉，置不復用。
HCH_010_044_000034	金質不精，水性不行，況移之沍寒之地乎！
HCH_010_044_000035	晉天福三年造。
HCH_010_044_000036	《周官》契壺氏，懸壺必爨之以火。
HCH_010_044_000037	地雖沍寒，蓋可施也。
HCH_010_044_000038	古者官星萬餘名。
HCH_010_044_000039	遭秦焚滅圖籍，世秘不傳。
HCH_010_044_000040	漢收散亡，得甘德、石申、巫咸三家圖經。
HCH_010_044_000041	經緯合千餘官，僅存什一。
HCH_010_044_000042	分為三垣、四宮、二十八宿，樞以二極，建以北斗，緯以五星，日月代明，貴而太一，賤逮屎糠。
HCH_010_044_000043	占決之用，亦云備矣。
HCH_010_044_000044	司馬遷《天官書》既以具錄，後世保章守候，無出三家官星之外者。
HCH_010_044_000045	天象昭垂，歷代不易，而漢、晉、隋、唐之書累誌天文，近於衍矣。
HCH_010_044_000046	且天象機祥，律格有禁，書於勝國之史，詿誤學者，不宜書。
HCH_010_044_000047	其日食、星變、風雲、震雪之祥，具載《帝紀》，不復書。
HCH_010_044_000048	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
